Domain	Subset	Mode	N_Partitions	Sweep_Set	Region_Index	Region_Label	Cutoff_Count	Expected_Cells	Eval_Cells	Finite_Value_Cells	Primary_Eligible_Cells	Finite_Eligible_Cells	Finite_Eligible_Eval_Pct	Positive_Cells	Positive_Eval_Pct	Negative_Cells	Negative_Eval_Pct	Zero_Cells	Large_Positive_Cells	Large_Positive_Eval_Pct	Large_Positive_Eligible_Pct	Large_Negative_Cells	Large_Negative_Eval_Pct	Large_Negative_Eligible_Pct	Mean_Value	Median_Value
Formula	PM	Period1_2015_2017	3	finite99	2	middle signed-cutoff region	67	6633	6633	3366	3356	3356	50.595507	620	9.347203	2636	39.740690	100	241	3.633348	7.181168	2051	30.921152	61.114422	-0.509016	-0.722222
Formula	PM	Period1_2015_2017	3	finite99	3	high signed-tail region	66	6534	6534	5742	5634	5634	86.225895	1917	29.338843	1850	28.313437	1867	1276	19.528620	22.648207	812	12.427303	14.412496	0.055778	0.000000
Formula	PM	Period2_2018_2020	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	5704	87.297215	830	0	0.000000	0.000000	5704	87.297215	87.297215	-0.871624	-1.000000
Formula	PM	Period2_2018_2020	3	finite99	2	middle signed-cutoff region	67	6633	6633	3366	3364	3364	50.716116	1011	15.241972	2167	32.669983	186	833	12.558420	24.762188	1974	29.760289	58.680143	-0.328067	-0.934028
Formula	PM	Period2_2018_2020	3	finite99	3	high signed-tail region	66	6534	6534	2376	2246	2246	34.374043	531	8.126722	833	12.748699	882	83	1.270279	3.695459	352	5.387205	15.672306	-0.104675	0.000000
Formula	SM	Combo6yr	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	1543	23.614937	4296	65.748393	695	382	5.846342	5.846342	3707	56.734007	56.734007	-0.462761	-0.750000
Formula	SM	Combo6yr	3	finite99	2	middle signed-cutoff region	67	6633	6633	6633	6633	6633	100.000000	1570	23.669531	1624	24.483642	3439	1324	19.960802	19.960802	1478	22.282527	22.282527	-0.020982	0.000000
Formula	SM	Combo6yr	3	finite99	3	high signed-tail region	66	6534	6534	6534	6533	6533	99.984695	3440	52.647689	209	3.198653	2884	3056	46.770738	46.777897	0	0.000000	0.000000	0.439268	0.201389
Formula	SM	Period1_2015_2017	3	finite99	1	low signed-tail region	66	6534	6534	6534	6531	6531	99.954086	3973	60.805020	1973	30.195898	585	3443	52.693603	52.717807	1391	21.288644	21.298423	0.251969	0.555556
Formula	SM	Period1_2015_2017	3	finite99	2	middle signed-cutoff region	67	6633	6633	6633	6625	6625	99.879391	2294	34.584652	928	13.990653	3403	1670	25.177145	25.207547	485	7.311925	7.320755	0.173004	0.000000
Formula	SM	Period1_2015_2017	3	finite99	3	high signed-tail region	66	6534	6534	6534	6533	6533	99.984695	3743	57.284971	269	4.116927	2521	3372	51.606979	51.614878	3	0.045914	0.045921	0.485256	0.597222
Formula	SM	Period2_2018_2020	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	173	2.647689	5532	84.664830	829	0	0.000000	0.000000	2661	40.725436	40.725436	-0.424791	-0.409722
Formula	SM	Period2_2018_2020	3	finite99	2	middle signed-cutoff region	67	6633	6633	6633	6632	6632	99.984924	1561	23.533846	1573	23.714760	3498	1433	21.604101	21.607358	1519	22.900648	22.904101	-0.020911	0.000000
Formula	SM	Period2_2018_2020	3	finite99	3	high signed-tail region	66	6534	6534	6534	6531	6531	99.954086	644	9.856137	36	0.550964	5851	345	5.280073	5.282499	0	0.000000	0.000000	0.048505	0.000000
Pathway	All	Combo6yr	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	6284	96.173860	250	0	0.000000	0.000000	6284	96.173860	96.173860	-0.961739	-1.000000
Pathway	All	Combo6yr	3	finite99	2	middle signed-cutoff region	67	6633	6633	6633	6633	6633	100.000000	1948	29.368310	4118	62.083522	567	679	10.236695	10.236695	2605	39.273330	39.273330	-0.288955	-0.041667
Pathway	All	Combo6yr	3	finite99	3	high signed-tail region	66	6534	6534	6534	6528	6528	99.908173	2176	33.302724	3646	55.800429	706	658	10.070401	10.079657	2745	42.011019	42.049632	-0.303100	-0.107639
Pathway	All	Period1_2015_2017	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	6353	97.229875	181	0	0.000000	0.000000	6353	97.229875	97.229875	-0.972069	-1.000000
Pathway	All	Period1_2015_2017	3	finite99	2	middle signed-cutoff region	67	6633	6633	6633	6633	6633	100.000000	3239	48.831600	2942	44.353988	452	1808	27.257651	27.257651	1394	21.016131	21.016131	0.054862	0.000000
Pathway	All	Period1_2015_2017	3	finite99	3	high signed-tail region	66	6534	6534	6534	6527	6527	99.892868	2102	32.170187	3779	57.835935	646	616	9.427609	9.437720	2784	42.607897	42.653593	-0.323530	-0.145833
Pathway	All	Period2_2018_2020	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	6270	95.959596	264	0	0.000000	0.000000	6270	95.959596	95.959596	-0.959596	-1.000000
Pathway	All	Period2_2018_2020	3	finite99	2	middle signed-cutoff region	67	6633	6633	6633	6633	6633	100.000000	1843	27.785316	4315	65.053520	475	526	7.930047	7.930047	2683	40.449269	40.449269	-0.329857	-0.062500
Pathway	All	Period2_2018_2020	3	finite99	3	high signed-tail region	66	6534	6534	6534	6523	6523	99.831650	1648	25.221916	4066	62.228344	809	184	2.816039	2.820788	1110	16.988062	17.016710	-0.159019	-0.034722
Pathway	PM	Combo6yr	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	6234	95.408632	300	0	0.000000	0.000000	6234	95.408632	95.408632	-0.953857	-1.000000
Pathway	PM	Combo6yr	3	finite99	2	middle signed-cutoff region	67	6633	6633	3366	3366	3366	50.746269	776	11.699080	2504	37.750641	86	776	11.699080	23.054070	2504	37.750641	74.390969	-0.521029	-1.000000
Pathway	PM	Combo6yr	3	finite99	3	high signed-tail region	66	6534	6534	5742	5581	5581	85.414754	1640	25.099480	3285	50.275482	656	908	13.896541	16.269486	2755	42.164065	49.363913	-0.342109	-0.388889
Pathway	PM	Period1_2015_2017	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	6353	97.229875	181	0	0.000000	0.000000	6353	97.229875	97.229875	-0.972069	-1.000000
Pathway	PM	Period1_2015_2017	3	finite99	2	middle signed-cutoff region	67	6633	6633	3366	3366	3366	50.746269	1858	28.011458	1461	22.026232	47	1715	25.855571	50.950683	1404	21.166893	41.711230	0.082989	0.555556
Pathway	PM	Period1_2015_2017	3	finite99	3	high signed-tail region	66	6534	6534	5742	5581	5581	85.414754	1690	25.864708	3241	49.602081	650	870	13.314968	15.588604	2781	42.561983	49.829780	-0.337044	-0.381944
Pathway	PM	Period2_2018_2020	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	6138	93.939394	396	0	0.000000	0.000000	6138	93.939394	93.939394	-0.939394	-1.000000
Pathway	PM	Period2_2018_2020	3	finite99	2	middle signed-cutoff region	67	6633	6633	3366	3366	3366	50.746269	580	8.744158	2673	40.298507	113	580	8.744158	17.231135	2673	40.298507	79.411765	-0.624787	-1.000000
Pathway	PM	Period2_2018_2020	3	finite99	3	high signed-tail region	66	6534	6534	2376	2164	2164	33.119069	575	8.800122	1335	20.431589	254	1	0.015305	0.046211	899	13.758800	41.543438	-0.419516	-0.194444
Pathway	SM	Combo6yr	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	6183	94.628099	351	0	0.000000	0.000000	6183	94.628099	94.628099	-0.946204	-1.000000
Pathway	SM	Combo6yr	3	finite99	2	middle signed-cutoff region	67	6633	6633	6633	6633	6633	100.000000	2468	37.207900	3577	53.927333	588	1087	16.387758	16.387758	1974	29.760289	29.760289	-0.133549	-0.017361
Pathway	SM	Combo6yr	3	finite99	3	high signed-tail region	66	6534	6534	6534	6528	6528	99.908173	3221	49.295990	2555	39.103153	752	1572	24.058770	24.080882	1435	21.962045	21.982230	0.038554	0.000000
Pathway	SM	Period1_2015_2017	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	6280	96.112642	254	0	0.000000	0.000000	6280	96.112642	96.112642	-0.959552	-1.000000
Pathway	SM	Period1_2015_2017	3	finite99	2	middle signed-cutoff region	67	6633	6633	6633	6633	6633	100.000000	3213	48.439620	2950	44.474597	470	1708	25.750038	25.750038	1464	22.071461	22.071461	0.037037	0.000000
Pathway	SM	Period1_2015_2017	3	finite99	3	high signed-tail region	66	6534	6534	6534	6526	6526	99.877564	3284	50.260178	2552	39.057239	690	1469	22.482400	22.509960	1453	22.237527	22.264787	0.008665	0.003472
Pathway	SM	Period2_2018_2020	3	finite99	1	low signed-tail region	66	6534	6534	6534	6534	6534	100.000000	0	0.000000	6138	93.939394	396	0	0.000000	0.000000	6138	93.939394	93.939394	-0.939394	-1.000000
Pathway	SM	Period2_2018_2020	3	finite99	2	middle signed-cutoff region	67	6633	6633	6633	6633	6633	100.000000	2219	33.453942	3903	58.842153	511	708	10.673903	10.673903	2190	33.016735	33.016735	-0.229628	-0.034722
Pathway	SM	Period2_2018_2020	3	finite99	3	high signed-tail region	66	6534	6534	6534	6523	6523	99.831650	3281	50.214264	2421	37.052342	821	673	10.299969	10.317339	204	3.122130	3.127395	0.061652	0.003472
