Domain	Cultivation_System	All	PM	SM	All_Large_Eval_Pct	PM_Large_Eval_Pct	SM_Large_Eval_Pct	All_Dominance_Ratio	PM_Dominance_Ratio	SM_Dominance_Ratio
Formula	Synecoculture	bin 6/6: high signed-tail side (36.5%)	bin 3/6: low-to-middle signed-cutoff region (25.0%)	bin 6/6: high signed-tail side (69.6%)	36.455464	24.955437	69.605142	1.258985	1.099476	1.717523
Formula	Conventional	bin 1/6: low signed-tail side (93.2%)	bin 2/6: low signed-tail side (91.6%)	bin 2/6: low signed-tail side (78.4%)	93.174166	91.643710	78.420569	1.023882	1.029220	1.733424
Brite	Synecoculture	bin 3/6: low-to-middle signed-cutoff region (20.9%)	bin 3/6: low-to-middle signed-cutoff region (19.7%)	bin 3/6: low-to-middle signed-cutoff region (20.7%)	20.944742	19.696970	20.736780	1.624424	1.227778	1.187075
Brite	Conventional	bin 2/6: low signed-tail side (89.9%)	bin 2/6: low signed-tail side (85.4%)	bin 2/6: low signed-tail side (85.6%)	89.929599	85.368840	85.644322	1.011708	1.018255	1.013401
Pathway	Synecoculture	bin 3/6: low-to-middle signed-cutoff region (20.2%)	bin 3/6: low-to-middle signed-cutoff region (23.1%)	bin 3/6: low-to-middle signed-cutoff region (32.3%)	20.172311	23.054070	32.293523	1.772846	1.203101	1.353674
Pathway	Conventional	bin 2/6: low signed-tail side (96.4%)	bin 2/6: low signed-tail side (95.9%)	bin 2/6: low signed-tail side (95.2%)	96.388124	95.867769	95.163759	1.004466	1.009671	1.011386
