Domain,Subset,Mode,N_Partitions,Sweep_Set,Region_Index,Region_Label,Cutoff_Count,Expected_Cells,Eval_Cells,Finite_Value_Cells,Primary_Eligible_Cells,Finite_Eligible_Cells,Finite_Eligible_Eval_Pct,Positive_Cells,Positive_Eval_Pct,Negative_Cells,Negative_Eval_Pct,Zero_Cells,Large_Positive_Cells,Large_Positive_Eval_Pct,Large_Positive_Eligible_Pct,Large_Negative_Cells,Large_Negative_Eval_Pct,Large_Negative_Eligible_Pct,Mean_Value,Median_Value
Brite,All,Combo6yr,4,all100,1,bin 1/4: low signed-tail side,50,5000,5000,5000,4950,4950,99.000000,0,0.000000,4413,88.260000,537,0,0.000000,0.000000,4413,88.260000,89.151515,-0.891414,-1.000000
Brite,All,Combo6yr,4,all100,2,bin 2/4: low-to-middle signed-cutoff region,50,5000,5000,5000,4950,4950,99.000000,819,16.380000,3714,74.280000,417,705,14.100000,14.242424,3714,74.280000,75.030303,-0.607994,-1.000000
Brite,All,Combo6yr,4,all100,3,bin 3/4: high signed-tail side,50,5000,5000,5000,4950,4950,99.000000,2246,44.920000,2290,45.800000,414,275,5.500000,5.555556,14,0.280000,0.282828,0.047262,0.000000
Brite,All,Combo6yr,4,all100,4,bin 4/4: high signed-tail side,49,4900,4900,4900,4851,4851,99.000000,1149,23.448980,3310,67.551020,392,159,3.244898,3.277675,2602,53.102041,53.638425,-0.390366,-0.506944
Brite,All,Period1_2015_2017,4,all100,1,bin 1/4: low signed-tail side,50,5000,5000,5000,4950,4950,99.000000,0,0.000000,4395,87.900000,555,0,0.000000,0.000000,4395,87.900000,88.787879,-0.887071,-1.000000
Brite,All,Period1_2015_2017,4,all100,2,bin 2/4: low-to-middle signed-cutoff region,50,5000,5000,5000,4950,4950,99.000000,818,16.360000,3787,75.740000,345,737,14.740000,14.888889,3776,75.520000,76.282828,-0.614738,-1.000000
Brite,All,Period1_2015_2017,4,all100,3,bin 3/4: high signed-tail side,50,5000,5000,5000,4950,4950,99.000000,2090,41.800000,2497,49.940000,363,141,2.820000,2.848485,78,1.560000,1.575758,0.002650,-0.000000
Brite,All,Period1_2015_2017,4,all100,4,bin 4/4: high signed-tail side,49,4900,4900,4900,4851,4851,99.000000,830,16.938776,3642,74.326531,379,84,1.714286,1.731602,2873,58.632653,59.224902,-0.512820,-0.625000
Brite,All,Period2_2018_2020,4,all100,1,bin 1/4: low signed-tail side,50,5000,5000,5000,4950,4950,99.000000,0,0.000000,4403,88.060000,547,0,0.000000,0.000000,4403,88.060000,88.949495,-0.889293,-1.000000
Brite,All,Period2_2018_2020,4,all100,2,bin 2/4: low-to-middle signed-cutoff region,50,5000,5000,5000,4950,4950,99.000000,719,14.380000,3769,75.380000,462,585,11.700000,11.818182,3768,75.360000,76.121212,-0.641928,-1.000000
Brite,All,Period2_2018_2020,4,all100,3,bin 3/4: high signed-tail side,50,5000,5000,5000,4950,4950,99.000000,1674,33.480000,2976,59.520000,300,0,0.000000,0.000000,0,0.000000,0.000000,-0.013268,-0.019097
Brite,All,Period2_2018_2020,4,all100,4,bin 4/4: high signed-tail side,49,4900,4900,4900,4851,4851,99.000000,2126,43.387755,2336,47.673469,389,429,8.755102,8.843537,58,1.183673,1.195630,0.089187,0.000000
Brite,PM,Combo6yr,4,all100,1,bin 1/4: low signed-tail side,50,5000,5000,5000,4950,4950,99.000000,0,0.000000,4168,83.360000,782,0,0.000000,0.000000,4168,83.360000,84.202020,-0.841919,-1.000000
Brite,PM,Combo6yr,4,all100,2,bin 2/4: low-to-middle signed-cutoff region,50,5000,5000,5000,4950,4950,99.000000,704,14.080000,3648,72.960000,598,663,13.260000,13.393939,3577,71.540000,72.262626,-0.591184,-1.000000
Brite,PM,Combo6yr,4,all100,3,bin 3/4: high signed-tail side,50,5000,5000,900,773,773,15.460000,121,2.420000,458,9.160000,194,0,0.000000,0.000000,33,0.660000,4.269082,-0.103897,-0.027778
Brite,PM,Combo6yr,4,all100,4,bin 4/4: high signed-tail side,49,4900,4900,4900,4835,4835,98.673469,894,18.244898,2799,57.122449,1142,540,11.020408,11.168563,2656,54.204082,54.932782,-0.455647,-1.000000
Brite,PM,Period1_2015_2017,4,all100,1,bin 1/4: low signed-tail side,50,5000,5000,5000,4950,4950,99.000000,0,0.000000,4246,84.920000,704,0,0.000000,0.000000,4246,84.920000,85.777778,-0.857374,-1.000000
Brite,PM,Period1_2015_2017,4,all100,2,bin 2/4: low-to-middle signed-cutoff region,50,5000,5000,5000,4950,4950,99.000000,810,16.200000,3696,73.920000,444,715,14.300000,14.444444,3610,72.200000,72.929293,-0.583591,-1.000000
Brite,PM,Period1_2015_2017,4,all100,3,bin 3/4: high signed-tail side,50,5000,5000,900,773,773,15.460000,135,2.700000,439,8.780000,199,0,0.000000,0.000000,34,0.680000,4.398448,-0.098911,-0.013889
Brite,PM,Period1_2015_2017,4,all100,4,bin 4/4: high signed-tail side,49,4900,4900,4900,4834,4834,98.653061,884,18.040816,2815,57.448980,1135,444,9.061224,9.184940,2668,54.448980,55.192387,-0.463074,-1.000000
Brite,PM,Period2_2018_2020,4,all100,1,bin 1/4: low signed-tail side,50,5000,5000,5000,4950,4950,99.000000,0,0.000000,4149,82.980000,801,0,0.000000,0.000000,4149,82.980000,83.818182,-0.837778,-1.000000
Brite,PM,Period2_2018_2020,4,all100,2,bin 2/4: low-to-middle signed-cutoff region,50,5000,5000,5000,4950,4950,99.000000,605,12.100000,3674,73.480000,671,589,11.780000,11.898990,3584,71.680000,72.404040,-0.604315,-1.000000
Brite,PM,Period2_2018_2020,4,all100,3,bin 3/4: high signed-tail side,50,5000,5000,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,,0,0.000000,,,
Brite,PM,Period2_2018_2020,4,all100,4,bin 4/4: high signed-tail side,49,4900,4900,2400,2237,2237,45.653061,368,7.510204,1313,26.795918,556,2,0.040816,0.089405,875,17.857143,39.114886,-0.399835,-0.083333
Brite,SM,Combo6yr,4,all100,1,bin 1/4: low signed-tail side,50,5000,5000,5000,4950,4950,99.000000,0,0.000000,4197,83.940000,753,0,0.000000,0.000000,4197,83.940000,84.787879,-0.847677,-1.000000
Brite,SM,Combo6yr,4,all100,2,bin 2/4: low-to-middle signed-cutoff region,50,5000,5000,5000,4950,4950,99.000000,707,14.140000,3659,73.180000,584,698,13.960000,14.101010,3657,73.140000,73.878788,-0.605579,-1.000000
Brite,SM,Combo6yr,4,all100,3,bin 3/4: high signed-tail side,50,5000,5000,5000,4950,4950,99.000000,2852,57.040000,1644,32.880000,454,279,5.580000,5.636364,16,0.320000,0.323232,0.057733,0.006944
Brite,SM,Combo6yr,4,all100,4,bin 4/4: high signed-tail side,49,4900,4900,4900,4851,4851,99.000000,3440,70.204082,1013,20.673469,398,774,15.795918,15.955473,5,0.102041,0.103072,0.200050,0.138889
Brite,SM,Period1_2015_2017,4,all100,1,bin 1/4: low signed-tail side,50,5000,5000,5000,4950,4950,99.000000,240,4.800000,3739,74.780000,971,172,3.440000,3.474747,3686,73.720000,74.464646,-0.690922,-1.000000
Brite,SM,Period1_2015_2017,4,all100,2,bin 2/4: low-to-middle signed-cutoff region,50,5000,5000,5000,4950,4950,99.000000,542,10.840000,3750,75.000000,658,313,6.260000,6.323232,3485,69.700000,70.404040,-0.593238,-0.923611
Brite,SM,Period1_2015_2017,4,all100,3,bin 3/4: high signed-tail side,50,5000,5000,5000,4950,4950,99.000000,2299,45.980000,2330,46.600000,321,181,3.620000,3.656566,83,1.660000,1.676768,0.016971,0.000000
Brite,SM,Period1_2015_2017,4,all100,4,bin 4/4: high signed-tail side,49,4900,4900,4900,4851,4851,99.000000,1698,34.653061,2714,55.387755,439,227,4.632653,4.679448,1740,35.510204,35.868893,-0.210467,-0.083333
Brite,SM,Period2_2018_2020,4,all100,1,bin 1/4: low signed-tail side,50,5000,5000,5000,4950,4950,99.000000,0,0.000000,4250,85.000000,700,0,0.000000,0.000000,4250,85.000000,85.858586,-0.858586,-1.000000
Brite,SM,Period2_2018_2020,4,all100,2,bin 2/4: low-to-middle signed-cutoff region,50,5000,5000,5000,4950,4950,99.000000,786,15.720000,3569,71.380000,595,683,13.660000,13.797980,3558,71.160000,71.878788,-0.565125,-1.000000
Brite,SM,Period2_2018_2020,4,all100,3,bin 3/4: high signed-tail side,50,5000,5000,5000,4950,4950,99.000000,2220,44.400000,2401,48.020000,329,0,0.000000,0.000000,0,0.000000,0.000000,-0.006045,0.000000
Brite,SM,Period2_2018_2020,4,all100,4,bin 4/4: high signed-tail side,49,4900,4900,4900,4851,4851,99.000000,3159,64.469388,1248,25.469388,444,768,15.673469,15.831787,12,0.244898,0.247372,0.177195,0.038194
