Domain,Subset,Mode,N_Partitions,Sweep_Set,Region_Index,Region_Label,Cutoff_Count,Expected_Cells,Eval_Cells,Finite_Value_Cells,Primary_Eligible_Cells,Finite_Eligible_Cells,Finite_Eligible_Eval_Pct,Positive_Cells,Positive_Eval_Pct,Negative_Cells,Negative_Eval_Pct,Zero_Cells,Large_Positive_Cells,Large_Positive_Eval_Pct,Large_Positive_Eligible_Pct,Large_Negative_Cells,Large_Negative_Eval_Pct,Large_Negative_Eligible_Pct,Mean_Value,Median_Value
Pathway,SM,Period2_2018_2020,6,all100,2,bin 2/6: low signed-tail side,33,3300,3300,3300,3267,3267,99.000000,0,0.000000,3069,93.000000,198,0,0.000000,0.000000,3069,93.000000,93.939394,-0.939394,-1.000000
Pathway,SM,Period2_2018_2020,6,all100,3,bin 3/6: low-to-middle signed-cutoff region,34,3400,3400,3400,3366,3366,99.000000,807,23.735294,2415,71.029412,144,708,20.823529,21.033868,2190,64.411765,65.062389,-0.447956,-1.000000
Pathway,SM,Period2_2018_2020,6,all100,4,bin 4/6: high signed-tail side,33,3300,3300,3300,3267,3267,99.000000,1412,42.787879,1488,45.090909,367,0,0.000000,0.000000,0,0.000000,0.000000,-0.004685,0.000000
Pathway,SM,Period2_2018_2020,6,all100,5,bin 5/6: high signed-tail side,33,3300,3300,3300,3267,3267,99.000000,1774,53.757576,1107,33.545455,386,0,0.000000,0.000000,0,0.000000,0.000000,0.016703,0.010417
Pathway,SM,Period2_2018_2020,6,all100,6,bin 6/6: high signed-tail side,33,3300,3300,3300,3256,3256,98.666667,1507,45.666667,1314,39.818182,435,673,20.393939,20.669533,204,6.181818,6.265356,0.106752,0.000000
Brite,All,Combo6yr,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2904,88.888889,363,0,0.000000,0.000000,2904,88.888889,88.888889,-0.888889,-1.000000
Brite,All,Combo6yr,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2938,89.929599,329,0,0.000000,0.000000,2938,89.929599,89.929599,-0.898990,-1.000000
Brite,All,Combo6yr,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,819,24.331551,2285,67.884730,262,705,20.944742,20.944742,2285,67.884730,67.884730,-0.469718,-1.000000
Brite,All,Combo6yr,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1269,38.842975,1720,52.647689,278,0,0.000000,0.000000,0,0.000000,0.000000,-0.007211,-0.006944
Brite,All,Combo6yr,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,2126,65.074992,877,26.844200,264,434,13.284359,13.284359,105,3.213958,3.213958,0.143722,0.104167
Brite,All,Combo6yr,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,3003,91.919192,264,0,0.000000,0.000000,2511,76.859504,76.859504,-0.644537,-0.701389
Brite,All,Period1_2015_2017,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2874,87.970615,393,0,0.000000,0.000000,2874,87.970615,87.970615,-0.878788,-1.000000
Brite,All,Period1_2015_2017,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2983,91.307009,284,0,0.000000,0.000000,2983,91.307009,91.307009,-0.912764,-1.000000
