Formula,High-EI 2014,High-EI 2015,High-EI 2016,High-EI 2017,High-EI 2018,High-EI 2019,High-EI 2020,Low-EI 2015,Low-EI 2016,Low-EI 2017,Low-EI 2018,Low-EI 2019,Low-EI 2020
C9H18O2,0,0,0,0,1097.6666666667,0,0,0,0,0,156,0,0
C6H8O3,0,0,0,0,1523.3333333333,0,8496.6666666667,0,0,0,6207.3333333333,0,885
C8H8O2,0,0,0,0,23752.75,22212.5555555556,24934.3333333333,0,0,0,23601.5,17676.8888888889,13660.1111111111
C8H5NO,0,0,0,0,4676,0,47394.6666666667,0,0,0,1755.3333333333,0,23053
C8H15NO,0,0,974.3333333333,391,0,0,3379.6666666667,0,0,66,0,0,1534.3333333333
C11H12O2,0,0,0,0,48809.6666666667,55821.6666666667,62707.3333333333,0,0,0,46833.6666666667,46431.6666666667,36593.6666666667
C12H18O2,312.5,0,1917,0,0,0,8972.6666666667,1846.75,0,0,0,0,3903
C20H20O11,0,0,0,0,3368.3333333333,1669.6666666667,7001.8333333333,0,0,0,3724,1264,3160
C27H30O17,37471,33622,15912,0,86944.3333333333,100925,121183.333333333,27426,10177.5,0,50757.5,71667.6666666667,98894
C33H41O21,0,0,0,0,376105,0,0,0,0,0,20312.3333333333,0,0
C15H20O4,0,0,0,0,27104,9870.3333333333,36577.6666666667,0,0,0,20901,11339.1666666667,17836.3333333333
C8H14O,0,0,886,0,0,13108.3333333333,0,0,946,0,0,4786.3333333333,0
C23H24O6,0,6062,0,0,21006.5,18620,8680.3333333333,0,0,0,17374,18581.3333333333,0
C26H35NO11,0,0,0,0,0,0,4407,0,0,0,0,0,1835
C14H16O4,0,0,0,0,22590.5,11919.7777777778,11075.8333333333,0,0,0,2087.6666666667,4978.1111111111,13464.1666666667
C7H8O3,0,0,0,0,4411.8333333333,5133.1666666667,0,0,0,0,2146.1666666667,2963.3333333333,0
C3H10NO3P,0,0,0,0,5451.3333333333,9797,0,0,0,0,2780.3333333333,5571.6666666667,0
C10H10O3,0,0,0,0,8770.4444444445,10771.6666666667,12690.5,0,0,0,5754.2222222222,5184.5,9389.5
C22H31NO6,0,0,0,0,44872.6666666667,0,64044.3333333333,0,0,0,15737,0,34380.3333333333
C30H27O13,0,0,0,0,4407,0,0,0,0,0,0,0,0
C25H32O9,0,0,0,0,4820,0,0,0,0,0,0,0,0
C17H16O7,0,0,0,0,2996.6666666667,0,0,0,0,0,0,0,0
C20H22N7O6,0,0,0,0,1409.3333333333,0,0,0,0,0,0,0,0
C17H26O5,0,0,0,0,1335.3333333333,0,0,0,0,0,0,0,0
C28H29N3OF2,0,0,0,10055,30179.3333333333,0,56991,0,0,8941,21076.3333333333,0,24308.6666666667
C6H9NO4,0,0,0,0,0,0,3575,0,0,0,0,0,1413
C12H18O,0,0,0,0,6359.3333333333,8510.3333333333,12188.6666666667,0,0,0,6102.6666666667,5895.6666666667,6898.3333333333
C26H28O14,239703.5,297164.5,175055,127903,1311703,1140310.33333333,1873087.66666667,51764.5,156951.5,144533.666666667,1186076.33333333,795639,1070952
C22H24O6,0,0,0,0,0,3841.3333333333,12444.3333333333,0,0,0,0,4479.3333333333,5767.3333333333
C9H17NO2,0,0,0,0,0,0,11028.6666666667,0,0,0,0,0,4165.6666666667
C8H7NO,0,0,0,0,16318.5555555556,18212.5555555556,44178.5,0,0,0,11803,28272.2222222222,20236.1666666667
C11H16O2,1756.75,65.25,2098,0,67108,242543,163093.5,346.75,0,0,133258,70938,82341.5
C13H20O2,38471,0,0,0,52301.5,37733.6666666667,28415.7777777778,5149,0,0,22533.8333333333,12447,24138.4444444444
C17H24O5,0,0,0,0,0,7189,0,0,0,0,0,729,0
C9H17N,0,0,0,0,0,2004.6666666667,0,0,0,0,0,0,0
C13H27NO2,0,0,0,0,0,3451.6666666667,0,0,0,0,0,0,0
C17H24O3,0,0,0,0,0,5493.3333333333,0,0,0,0,0,0,0
C21H20O9,0,0,0,0,0,0,10822,0,0,0,0,0,3689
C10H12O,0,0,0,0,14639.3333333333,26870,0,0,0,0,5896.6666666667,11317,0
C33H45NO11,20233,0,0,16995,52281.6666666667,0,59908.3333333333,0,0,0,20011.6666666667,0,27609.3333333333
C21H24O10,0,0,0,0,13615.3333333333,8508,11500.3333333333,0,0,0,5271.6666666667,6217.3333333333,7712.3333333333
C2H6O3PCl,2627,2704,5712.3333333333,812,638.6666666667,0,63703.3333333333,2201,21283,4640.3333333333,129.3333333333,0,19554
C12H19NO2S2,0,0,0,0,16943,0,139018,10716,0,0,14151.6666666667,0,45196.3333333333
C13H18O2,13950,0,0,0,24000.6666666667,21390,8108.1111111111,0,0,0,4930.8333333333,4690.6666666667,9866.3333333333
C20H24O6,0,0,0,0,21251.8888888889,16108,28271.2222222222,0,0,0,9961.5555555556,6932.8333333333,17002
C11H16O4,0,0,0,0,6599.2222222222,7877.6666666667,12813.3333333333,0,0,0,2672.7777777778,1623.6666666667,8188
C9H10O3,0,0,0,0,3307,1819.6666666667,0,0,0,0,737,0,0
C11H14O4,0,0,0,0,37186.1666666667,29928.8333333333,40899,0,0,0,16328.8333333333,14288.8333333333,26102.8333333333
C17H23N4O11P,0,0,0,0,0,0,16459.6666666667,0,0,0,0,0,4551.3333333333
C22H24O7,0,0,0,0,2325.6666666667,4331,11194.6666666667,0,0,0,6299,7797.3333333333,0
C13H20O,0,0,0,0,9334.1111111111,8558.3333333333,4879.3333333333,0,0,0,1917.8888888889,826.8333333333,4625.8333333333
C19H20O6,0,0,0,0,0,0,11820,0,0,0,0,0,2750
C33H40O21,321324,262910.5,359420,252455,1483580,621630,0,232554.5,303423,274770.5,65484.3333333333,178397,0
C9H8O,0,0,0,0,13335.6666666667,2490,7534.3333333333,0,0,0,4981.3333333333,3807.3333333333,1072
C11H18O2,0,0,0,0,0,0,5363,0,0,0,0,0,1093.6666666667
C21H23NO7,0,0,0,0,0,0,30512.5,0,0,0,0,0,6047.6666666667
C21H22O7,0,0,0,0,12907.3333333333,9235,17945.3333333333,0,0,0,3432,2181.3333333333,9639.3333333333
C13H16O8,0,0,0,0,0,0,6273.3333333333,0,0,0,0,0,1025.3333333333
C9H6O4,0,0,0,0,8864.3333333333,14917,16305.6666666667,0,0,0,5667.3333333333,12997,4949.3333333333
C4H6O6,0,0,0,0,0,0,4543.6666666667,0,0,0,0,0,708.3333333333
C14H21NO8,11834,0,0,0,7062.6666666667,17115,8673.3333333333,0,0,0,4372.6666666667,3510,3350
C19H32O8,52312.5,12871.5,22319,35419,56425.4444444445,52460.5,56987.3333333333,9438,0,14858,21592.2222222222,15282.3333333333,38964
C13H13N3,0,6207.5,0,0,0,0,14825.3333333333,5483.5,0,0,0,0,0
C8H10N4O3,0,0,0,0,19581.3333333333,4117.3333333333,6662.6666666667,0,0,0,0,8104.3333333333,0
C13H22O,0,0,0,0,35054.3333333333,20901.3333333333,18260,0,0,0,4360.6666666667,6965.3333333333,10205.6666666667
C8H11NO3,0,0,0,0,0,11943.3333333333,5775.6666666667,0,0,0,0,5511.3333333333,0
C13H18O7,0,0,0,0,4117.3333333333,5637.3333333333,7135.3333333333,0,0,0,772.3333333333,7015.6666666667,1417.6666666667
C20H22O6,0,0,0,0,47235.6666666667,42196,46614.3333333333,0,0,0,20699.3333333333,11372.6666666667,18805
C19H18O10,0,0,0,0,8452.6666666667,0,3603.3333333333,0,0,0,0,0,0
C7H6O4,0,0,0,0,0,0,7489.6666666667,0,0,0,0,0,581.3333333333
C42H46O23,39376,11533,0,20526,35989.8333333333,30096,20458.5,6272,0,15330,4068.1666666667,1604,7758.6666666667
C16H24O7,0,0,0,0,0,0,83184,0,0,0,0,0,3942.6666666667
C6H8O4,11843.5,12781.5,8224,16651,0,0,48561,7199.5,8990,0,0,0,0
C13H16N2O4,0,0,0,0,0,0,55726.3333333333,0,0,0,0,0,1371.3333333333
C20H24N3SCl,0,0,0,0,0,7262,12803.3333333333,0,0,0,0,4503.3333333333,2079.6666666667
C6H14N2O,0,0,0,0,0,0,19612,0,0,0,0,0,0
C11H8O4,0,0,0,0,0,0,7890,0,0,0,0,0,0
C18H14O8,0,0,0,0,0,0,7999.3333333333,0,0,0,0,0,0
C18H35NO2,0,0,0,0,0,0,3208.6666666667,0,0,0,0,0,0
C9H17NO3,0,0,0,0,0,0,3576.6666666667,0,0,0,0,0,0
C13H21NO,0,0,0,0,0,0,4200.3333333333,0,0,0,0,0,0
C6H6N2O2,0,0,0,0,0,0,5697,0,0,0,0,0,0
C8H16N2O3,0,0,0,0,0,0,7173.6666666667,0,0,0,0,0,0
C14H14O7,0,0,0,0,0,0,7847,0,0,0,0,0,0
C21H18O11,0,0,0,0,0,0,8212,0,0,0,0,0,0
C17H18O5,0,0,0,0,0,0,6380.3333333333,0,0,0,0,0,0
C20H22O4,0,0,0,0,18657,5708.6666666667,13686.3333333333,0,0,0,357,0,4803.3333333333
C21H24O7,0,0,0,0,12066,6374,8254.3333333333,0,0,0,276.6666666667,534,3476.3333333333
C6H9NO,0,0,0,0,46289,5171,62794.8333333333,0,0,0,7571.6666666667,10467.3333333333,9579.5
C20H20O5,0,0,0,0,5402,0,8178.3333333333,0,0,0,163.3333333333,0,0
C10H12,0,0,0,0,8215,11040.1111111111,18110,0,0,0,5694.3333333333,6027.4444444445,0
