Formula,High-EI 2014,High-EI 2015,High-EI 2016,High-EI 2017,High-EI 2018,High-EI 2019,High-EI 2020,Low-EI 2015,Low-EI 2016,Low-EI 2017,Low-EI 2018,Low-EI 2019,Low-EI 2020,KEGG ID,PC4 loadings
C11H16,0,0,0,0,0,0,2772.1666666667,0,0,0,1116.3333333333,0,6891.1666666667,C16993,-0.0674361647
C15H24O,0,0,0,0,2028.5,3873.1666666667,6258.1333333333,0,0,0,6099.6666666667,15823,17807.4666666667,C03461 | C09719 | C09720 | C14550 | C14693 | C16908 | C16945 | C16974 | C17462 | C17915 | C17953 | C17955 | C19676 | C19711 | C19938 | C20229 | C20307 | C20325 | C22012,-0.0670981869
C25H26O7,0,0,0,0,4210.6666666667,1840.6666666667,7087.3333333333,0,0,0,5862.6666666667,9472,17748.6666666667,C17868,-0.0662192188
C27H32O15,0,0,0,0,12341.3333333333,7307.6666666667,14395.3333333333,0,0,0,17491.6666666667,18065,37933.5,C08649 | C09616 | C09732 | C09805,-0.0647238714
C10H11NO4,0,0,0,0,0,0,2772,0,0,0,0,0,7950.6666666667,C03710 | C05596 | C16591,-0.0639296836
C12H18O7S,0,0,0,0,0,0,66287,12254,8741,22102,0,0,175989.333333333,C21671,-0.0637263878
C11H15N5O3S,0,0,0,0,23938.6666666667,32983,37837.6666666667,0,0,0,100445.333333333,114699,84132,C00170,-0.0625947554
C8H6O,0,0,0,0,14409.7333333333,16189.3333333333,36927.1111111111,0,0,0,53219.3333333333,37890.4444444444,67452.6666666667,C14512,-0.0620955697
C11H18N2O7,0,0,0,0,4352.3333333333,1482.3333333333,3253.3333333333,0,0,0,2704.3333333333,12040,12366.6666666667,C04421,-0.0619413031
C4H10N2O,0,0,0,0,0,0,906.3333333333,0,0,0,0,0,2236.3333333333,C14422,-0.057947813
C16H12O8,0,0,0,0,11662.6666666667,0,4172.7777777778,0,0,0,9024.3333333333,12177,14414.1111111111,C04527 | C10118 | C12633,-0.0579458588
C6H12N2O,12755,0,0,0,47479.3333333333,82101.6666666667,57079.3333333333,10492,16539,14084,113599,282488.333333333,184424.666666667,C02837 | C05328 | C19809,-0.057666872
C18H23N5O6,0,0,0,0,0,0,0,0,0,0,5345.6666666667,0,0,C21647,-0.0569260565
C15H28O11,0,0,0,0,0,0,0,0,0,0,6864.6666666667,0,0,C22292,-0.0569260565
C22H25N2OS,0,0,0,0,0,0,0,0,0,0,7203.6666666667,0,0,C07174,-0.0569260565
C25H22O9,0,0,0,0,0,0,0,0,0,0,20949.3333333333,0,0,C08600,-0.0569260565
C34H48O2,0,0,0,0,0,0,0,0,0,0,9035.3333333333,0,0,C14673,-0.0569260565
C6H4O3,0,0,0,0,0,0,0,0,0,0,4606.3333333333,4305.3333333333,0,C07103 | C20899,-0.0568820279
C8H16O4,0,0,0,0,13662.6666666667,18945.6666666667,14639,0,4513,3097,31106.6666666667,63292,42645,C11917 | C18744,-0.0568197956
C7H14N2O3,259560,166837.5,149297.5,212729,2184810.5,2470256.83333333,1895304.66666667,223783.5,444625,474363,3712703.16666667,8209173,5772393.83333333,C00437 | C01047,-0.0563844366
C9H6O2,4491.6666666667,8663.3333333333,3813,0,84848.5,110093.933333333,152087.904761905,9100.6666666667,0,9573,300571.166666667,204007,255272.904761905,C05851,-0.0554707926
C6H13NO2,10959,19966,0,14024,105839.555555556,258727.833333333,86982.8888888889,31984,40486,64354,411646,701461.166666667,329296.222222222,C00123 | C00407 | C01570 | C01933 | C02378 | C02486 | C06418 | C08263 | C16434 | C16439 | C16647 | C21092 | C21096,-0.0551486064
C15H22,0,0,0,0,786.6666666667,2802.3333333333,4336.8333333333,0,0,0,3340.6666666667,4067.3333333333,8932,C09649,-0.0550894087
C9H9N,0,0,0,0,5985.3333333333,10254.3333333333,5572.3333333333,0,0,0,19766,29705.3333333333,16446,C02596 | C08313,-0.0543453226
C30H26O13,25150,10526.6666666667,33683,23439.6666666667,66727.2222222222,50693.3333333333,49442.4666666667,12142.3333333333,19819,19864.6666666667,123595.444444444,47251.8888888889,92587.8666666667,C17140,-0.0543024079
C10H15N4O9P,0,0,0,0,782,0,0,0,0,0,11586.6666666667,0,0,C04734,-0.0537169781
C14H12O5,0,0,0,0,4195.8333333333,10491,974.6666666667,0,0,0,8260.8333333333,8410.6666666667,11751,C09010,-0.0528412031
C20H18O9,0,0,0,0,1496,8944,9388.1666666667,0,0,0,6595.5,11507.8333333333,21871.6666666667,C04719 | C10349 | C20506,-0.0525923643
C16H14O4S2,0,0,0,0,15062,0,5918.6666666667,0,0,0,18992,0,16164.6666666667,C04606,-0.051752919
C20H18O10,0,0,0,0,15240.6666666667,21265.1111111111,33823.6666666667,0,0,0,44617.8333333333,33207.8888888889,56749.5555555556,C20727,-0.0496662445
C16H29NO5,0,0,0,0,0,0,12989.8333333333,0,0,0,0,0,26047.5,C12946,-0.0481997913
C17H19N4O11P,0,0,0,0,9869,5080,0,0,0,0,12442.6666666667,7851,7398.3333333333,C21804,-0.0479358222
C30H24O12,2929.5,754,0,6132,8140.6666666667,16244,16472.3333333333,4087.5,0,3298,10175.4444444444,20136,37724,C10237,-0.0477272848
C18H34O3,854,1341.5,0,0,1527,0,0,0,0,0,6696.3333333333,0,0,C00869 | C08365 | C13791 | C19418 | C19616,-0.0464352151
C15H12O4,0,0,0,0,13398.8333333333,9752.8333333333,22152.3333333333,0,0,0,21966.6666666667,18305,38523.3333333333,C04271 | C08650 | C09762 | C09827 | C10262 | C15609 | C16404 | C16760 | C18256,-0.0464157779
C37H30O17,43093,36593,26758,48627,106329.666666667,76172.6666666667,134053,49850,18524,48869,185938.666666667,101871.666666667,184490,C10223,-0.0462297533
C27H30O14,34454,0,0,10252.5,57358.3333333333,0,0,0,0,29607,250749,0,0,C10196 | C12627 | C12628 | C16802 | C16981,-0.0460915197
C9H7N,0,0,0,0,7921,8634.6666666667,7123,0,0,0,15598.3333333333,19071.3333333333,14987.6666666667,C06323 | C06413,-0.0455529877
C24H39N5O6,8465.5,7753,18,0,8744.1666666667,0,22252.3333333333,0,0,0,20658.1666666667,0,30286.5,C15701,-0.044587615
C5H5N5O,0,0,0,0,15942.6666666667,13710.6666666667,58642.3333333333,0,0,0,29509.6666666667,155011.666666667,101046.666666667,C00242,-0.0429424213
C45H38O18,6968.75,9335,7102,12045.75,19363.7777777778,14162.5,31863.5,9340.75,5785.3333333333,10980.75,26252.4444444444,13718.8333333333,46833.25,C10239 | C17624 | C17892 | C17894 | C17897,-0.0428711957
C16H20N5O9P,0,0,0,0,18456.6666666667,1436,19998.8333333333,0,0,0,23389.3333333333,5016.6666666667,32789.6666666667,C21805,-0.042836172
C11H12N2O2,22953,40979,0,24862,211134.777777778,405555.333333333,317385.166666667,0,42987,60826,433922.888888889,868388.333333333,657368.666666667,C00078 | C00525 | C00806 | C07839 | C10743 | C10968 | C14916,-0.0424153244
C14H12O2S2,0,0,0,0,0,6879.3333333333,24497,0,0,0,0,22787.6666666667,44473.6666666667,C04485,-0.041903922
C21H20O12,119313,88664.5,56184.5,60898.6666666667,241859.888888889,328221.444444444,344745,89307,46948.5,80370.6666666667,338990.111111111,588684.333333333,618350.555555556,C05623 | C10050 | C10073 | C10108 | C12639 | C16410 | C17763,-0.0417215748
C20H15NO8,0,0,0,0,2163,0,0,0,0,0,7049.3333333333,0,0,C06627,-0.0406528273
C5H7NO3,15450.5,11608.5,11660,8344.5,153708.333333333,65014,330773,18689,40720,22171.5,248091.666666667,210988.833333333,444810,C01877 | C01879 | C02237 | C04281 | C04282 | C22141,-0.0389679526
C27H30O16,117100.5,33022.5,69265,83096.5,406662.166666667,246995.666666667,440132,24279,33215.5,87076.5,246340.333333333,193621,938617,C05625 | C10102 | C12634 | C16490 | C17563 | C19796,-0.0384969673
C8H14N2O4,5260,0,0,0,0,0,18431.6666666667,0,0,5554,0,0,30154,C06658 | C08271,-0.0379774507
C6H4O5,0,0,0,0,0,0,9896,0,0,0,0,0,16427.6666666667,C20450,-0.0377700849
C33H41O22,0,0,0,0,4852.6666666667,0,0,0,0,0,13593.6666666667,0,0,C08640 | C16314,-0.0377390031
C10H9NO3,0,0,0,0,1398.3333333333,0,0,0,0,0,3843,0,0,C05635 | C06725 | C16596 | C21619 | C21889 | C22202,-0.0373377982
C9H7NO,0,0,0,0,43560,54178.6666666667,30096,0,0,0,86935.6666666667,120703.666666667,64222.6666666667,C02796 | C06324 | C06338 | C06343 | C06415 | C08493 | C19434 | C21890,-0.0373177887
C21H20O13,237437,212397,151963,189663,1064009.66666667,426164.166666667,700556.5,209472,114763,223439,1570166.33333333,622505.833333333,978610.666666667,C10051 | C17514 | C17520,-0.0365527597
C22H24O5,0,0,0,0,8852.6666666667,0,0,0,0,0,22727.6666666667,0,0,C15145 | C21492 | C22048,-0.0358431081
C12H20O,0,0,0,0,7280.3333333333,0,2236.6666666667,0,0,0,6363,0,5795.6666666667,C08375,-0.0351863807
C10H7NO3,0,0,0,0,16014.3333333333,17359.6666666667,22613.6666666667,0,0,0,19638.3333333333,48752.3333333333,40523,C01717 | C02172 | C14800 | C14802 | C16715 | C18621 | C21891,-0.0350870761
C16H25NO,0,0,0,0,429.6666666667,0,0,0,0,0,1046.6666666667,0,0,C09883 | C17091,-0.0346204159
C23H24O12,0,0,0,0,6892.6666666667,8592.3333333333,22895.8333333333,0,0,0,14592.3333333333,10709,33060.1666666667,C10303,-0.0345898852
C16H17N5O7S2,0,0,0,0,4178.6666666667,0,0,0,0,0,10073.6666666667,0,0,C06885,-0.034370252
C14H12O4,0,0,0,0,0,0,5754.6666666667,0,0,0,0,0,8995.3333333333,C05901 | C08466 | C08743 | C09778 | C10273 | C12090 | C14283,-0.0341549236
C10H9N,0,0,0,0,17060.6666666667,30345.6666666667,13384,0,0,0,40473,72405.3333333333,29410.6666666667,C02227 | C14790,-0.0338613229
C13H18N2O,0,0,0,0,3149.1666666667,10873,13399.6666666667,0,0,0,16230.1666666667,20672,16933.6666666667,C08309,-0.0328994593
C8H13NO2,0,0,0,0,0,0,4333.6666666667,0,0,0,0,0,6622.3333333333,C06177 | C10129 | C10321 | C10866,-0.0327585433
C23H38N7O17P3S,0,0,0,0,1366.3333333333,0,0,0,0,0,3081.6666666667,0,0,C00024,-0.0327128261
C7H6O,0,0,0,0,7687.5555555556,9007.5833333333,16888,0,0,0,16902,12379.75,22797.3333333333,C00193 | C00261,-0.0325028042
C22H26O6,0,0,0,0,145809.666666667,0,0,0,0,0,322505.555555556,0,0,C10547 | C10561,-0.0322073472
C23H30O3Br2,0,0,0,0,16909,0,5533.6666666667,0,0,0,23406,0,8885.3333333333,C15359,-0.0303568949
C44H34O22,0,3135,0,0,26925.6666666667,20623,31171.5,9457,0,0,45316,27526.3333333333,40711.8333333333,C09972,-0.0291381745
C19H17N3O3Cl2,0,0,0,0,3399.3333333333,0,0,0,0,0,6693,0,0,C18459,-0.0290082949
C27H36N2O4BrCl,0,0,0,22563,39689.6666666667,0,0,0,17670,0,73895,0,0,C18212,-0.0288035958
C5H10O6,0,0,0,0,0,0,13190.3333333333,0,0,0,0,0,18897.6666666667,C00502 | C00545 | C00878 | C01685 | C05411 | C05412 | C22219,-0.0286893156
C12H23NO4,0,0,0,0,0,0,10044.6666666667,0,0,0,0,0,14295,C20826,-0.0282596281
C11H18O9,0,0,0,0,458.3333333333,2714,8968.3333333333,0,0,0,8313.3333333333,6580.3333333333,8046.6666666667,C08570 | C21186,-0.027866482
C11H21NO4,0,0,0,0,0,6651.6666666667,0,46.5,0,0,10376.3333333333,11930.3333333333,0,C02862 | C04301,-0.0275653642
C15H8O7,0,0,0,0,33612,29522,43177.3333333333,0,0,0,31956.8333333333,35290,73640.3333333333,C10394,-0.027139646
C15H16O9,0,0,0,0,36779.1666666667,11372.8333333333,82009,0,0,0,15482.8333333333,12958.3333333333,130684.888888889,C01421 | C02887 | C09206 | C09264,-0.0267856827
C17H14O8,0,0,0,0,1207.3333333333,0,0,0,0,0,2170,0,0,C04581 | C09967 | C10021 | C11620 | C17788 | C19588 | C19589,-0.0262778749
C10H10N2,0,0,0,0,0,14995.3333333333,11876.3333333333,0,0,0,0,38310,24182.6666666667,C10161 | C19463,-0.0257415803
C14H20O2,0,0,0,0,0,1181.3333333333,2691.6666666667,0,0,0,0,0,4534,C09519 | C09673,-0.0252961884
C23H25N5O5,0,0,0,0,1445.6666666667,0,23232.3333333333,0,0,0,3335.3333333333,0,29948.3333333333,C06970,-0.0252651228
C21H20O11,64283.5,51572,0,0,29858.5333333333,28630.6666666667,70758.9523809524,18479.5,0,0,22818.4666666667,70094.0833333333,99258.1428571429,C01750 | C01821 | C03951 | C08598 | C10042 | C10114 | C12249 | C12626 | C16409 | C17056,-0.0250919709
C12H20O4,0,0,0,0,0,0,2509.3333333333,0,0,0,0,0,3382.3333333333,C16308,-0.024719142
C15H11O5,0,0,0,0,0,0,24597.3333333333,0,0,0,0,0,33033.6666666667,C05904 | C08652,-0.0244775894
C12H19N4O7P2S,23129,25967,20129,33671,29187.5,22874.5,22002.3333333333,19781,13662,25948,27516.6666666667,34564.3333333333,26044.3333333333,C00068,-0.0240574814
C27H30O15,35121.25,47543.75,21310.5,42145,191608,73213.380952381,133558.833333333,32692.5,16044.75,55828.3333333333,235127,81493.8095238095,168057.722222222,C03870 | C04024 | C04199 | C08064 | C10195 | C10513 | C12630 | C17600 | C21833 | C21854,-0.0240068342
C5H9NO4,74242,79602,39768,73424,0,0,1162.6666666667,54932,114246,105439,0,0,15795.6666666667,C00025 | C00217 | C00302 | C00979 | C03618 | C03790 | C05574 | C05938 | C05941 | C12269,-0.0237814201
C26H29O15,0,0,0,0,6820.6666666667,0,0,0,0,0,11328,0,0,C20468 | C20490,-0.0237572886
C17H18O4,0,0,0,0,0,0,2882.6666666667,0,0,0,0,0,3817,C09646 | C10526 | C14294 | C20133,-0.0235408448
C6H10O4,0,0,0,0,8908.3333333333,0,0,0,0,0,14540,0,0,C00659 | C00772 | C00966 | C01053 | C04237 | C06006 | C06104 | C06762 | C14463 | C16272,-0.023183272
C12H18O3,0,629,0,0,12319.3333333333,10866.3333333333,13593.3333333333,0,0,0,13112.6666666667,13625.3333333333,21622.6666666667,C08491 | C16317,-0.0226789915
C30H27O14,11728,25670,0,0,51065,31371.6666666667,47699,0,0,0,56412.3333333333,16150.3333333333,72545,C16369 | C16370,-0.0216333662
C15H29O10P3,0,0,0,0,4720,0,0,0,0,0,7355,0,0,C03115,-0.0216231238
C5H5NO2,0,0,0,0,0,0,6758,0,0,0,0,0,8558,C01059 | C02932 | C03056 | C03927 | C05942,-0.0205523388
C11H15NO2,0,0,0,0,0,0,3958.6666666667,0,0,0,0,0,4984.3333333333,C07577 | C07875 | C09460 | C09640 | C18418 | C18957,-0.0201638845
C21H20O10,0,76674.5,17671.5,38162,95726.5,349912,144772.416666667,69466,20942,88724.5,306340.5,547832,206356.166666667,C01460 | C01714 | C04608 | C09126 | C10345 | C10420 | C16911,-0.0198553077
C7H11NO4,0,0,0,0,9471.6666666667,15476,29505.6666666667,0,0,0,20516.6666666667,37621.3333333333,33001.6666666667,C01250 | C12121 | C17366 | C21248,-0.0196961509
C23H32O4S,0,0,0,0,203128,0,0,0,0,0,298673.333333333,0,0,C14922,-0.0196066483
C9H14O3,814.8333333333,497.1666666667,2883.3333333333,0,0,0,0,390.3333333333,186,0,0,12183.3333333333,0,C14280,-0.0195893168
C15H12O6,112224.6,132575,184877,185283,539495,433872,601928.9,128978.8,181382,218683.333333333,770745.222222222,500913.142857143,678397.866666667,C00974 | C01378 | C05631 | C08724 | C09277 | C10060 | C10064 | C10083 | C10091 | C10415 | C12631 | C15525 | C16233 | C16940,-0.0195655789
C15H12O5,84962.5,73324,47643,91049,654282.666666667,184968.533333333,239381.2,71620.5,30571.5,98297.5,742586.833333333,270123.266666667,334329,C00509 | C01263 | C01592 | C03567 | C06561 | C08578 | C09047 | C09614 | C09751 | C09826 | C12087 | C14458 | C15567 | C16232 | C17673,-0.0195614996
C15H24O2,0,0,0,0,0,0,3871,0,0,0,0,2058,4387.1111111111,C02293 | C09627 | C09678 | C09681 | C09700 | C09733 | C16502 | C16946 | C17493 | C17604 | C21834,-0.0194336708
C5H11N3O,0,0,0,0,0,0,0,0,0,0,0,8695,0,C02647 | C19778 | C19782,-0.0188587149
C9H18N2O4,0,0,0,0,0,0,0,0,0,0,0,7102,0,C04020,-0.0188587149
C10H12N5O7P,0,0,0,0,0,0,0,0,0,0,0,8195.6666666667,0,C00942 | C06194 | C07025,-0.0188587149
C5H6N2O2,0,0,0,0,0,0,0,0,0,0,0,5179,0,C00178 | C02835,-0.0188587149
C7H6O5,0,0,0,0,0,0,0,0,0,0,0,10376.3333333333,0,C01424,-0.0188587149
C5H6O3,0,0,0,0,0,0,0,0,0,0,0,4069,0,C00596 | C07091 | C21187,-0.0188587149
C15H21NO2,0,0,0,0,0,0,0,0,0,0,0,15739,0,C07128 | C11792 | C14167,-0.0188587149
C17H24O6,0,0,0,0,0,0,0,0,0,0,0,10595,0,C09560,-0.0188587149
C17H24O4,0,0,0,0,0,0,0,0,0,0,0,3364.6666666667,0,C09741 | C10459,-0.0188587149
C20H28O3,0,0,0,0,0,0,0,0,0,0,0,9774.6666666667,0,C06093 | C09066 | C09163 | C09182 | C09196 | C09706 | C09845 | C14242 | C14615 | C14717 | C14887 | C15126 | C15192 | C15282 | C15287 | C16677 | C16679 | C16680 | C18016 | C21823,-0.0188587149
C20H26O3,0,0,0,0,0,0,0,0,0,0,0,9623.3333333333,0,C09119 | C09194 | C14670 | C14930 | C14999 | C15228 | C16678 | C18015,-0.0188587149
C24H34O9,0,0,0,0,4911.6666666667,0,0,0,0,0,6929,0,0,C09738,-0.0181288606
C30H28O12,0,0,0,0,0,0,22495,0,0,0,0,0,27332.3333333333,C17772 | C17773 | C17774,-0.0177408025
C22H18O11,791332.5,926373.5,1100781,824924.5,10582682.3333333,3424941,4909755.22222222,1004856,1097915,1067224,14419399,3918050,5376678.77777778,C09731 | C12379,-0.0174132163
C5H11NO2,0,10874,9428,0,0,0,0,14459,15488,13633,0,0,0,C00183 | C00431 | C00719 | C01799 | C01826 | C03571 | C06417 | C07457 | C15987 | C16436,-0.0168905714
C9H14N4O5S,0,0,0,0,50630,0,0,0,0,0,68024.6666666667,0,0,C20993,-0.0163496163
C6H6O3,31476,23492,9158,24622,12140.0833333333,15690.1666666667,17503.5,14873,11214,18120,9782.4166666667,14600.1666666667,23516,C01108 | C02183 | C02752 | C02814 | C11101 | C11918 | C20718,-0.0162837371
C6H12O5,0,0,0,0,9764,0,0,0,0,0,13046,0,0,C00507 | C00586 | C00861 | C01018 | C01019 | C01684 | C01721 | C02095 | C02338 | C02431 | C02476 | C02522 | C02781 | C07326 | C08258 | C08259 | C08352 | C16538 | C20835 | C20836 | C21033 | C21058 | C22093,-0.0161448082
C6H6N4O2,0,0,0,0,66869.3333333333,0,33589,0,0,0,49587.3333333333,0,51956.6666666667,C16353 | C16357 | C16358,-0.0160462936
C8H16O2,0,0,0,0,0,13887.6666666667,17990.3333333333,0,0,0,0,11682.6666666667,28289,C06423 | C07185,-0.01586538
C15H14N4O,0,0,0,0,22234,0,0,0,0,0,29408.3333333333,0,0,C07263 | C11739,-0.0157697458
C18H34N2O8PSCl,0,0,0,0,31926.3333333333,0,0,0,0,0,42194.6666666667,0,0,C11728,-0.0157403096
C9H8O2,0,0,0,0,2929.3333333333,3329.3333333333,6972.3333333333,0,0,0,8080.1666666667,9857.1666666667,5503.6666666667,C00423 | C02274 | C05608 | C07720 | C07728 | C10438 | C17268,-0.0155310656
C7H6O2,20190.5,16494,10527,24758,495707.533333333,331541.476190476,447481.533333333,15138,7775,27972,579364.2,437263.047619048,585502.933333333,C00180 | C00539 | C00633 | C03067 | C06202 | C15474,-0.0154585776
C5H14NO4P,6915,11920,0,0,0,0,0,13480,6646,11314,0,0,0,C22271,-0.0152743014
C6H7N3O,154539,157936,74151,55024,493867,421083.5,572236.666666667,174825,77755,74508,641739,572927.5,658857.333333333,C07054,-0.0152013494
C11H19NO9,10040,10317,8233,0,0,0,0,43778,21589,17340,0,0,0,C00270 | C03525 | C19909 | C19910 | C21053 | C22382,-0.0151527312
C4H7NO4,33125,31903,10245,16140,0,0,0,32572,45707,38320,0,0,0,C00049 | C00402 | C16433 | C19911,-0.015147514
C11H9NO2,10220,17433,0,0,0,0,0,14587,12032,18498,0,0,0,C21283,-0.0150736435
C15H23N5O4,0,0,0,0,0,0,10904.6666666667,0,0,0,0,0,12711.3333333333,C02993,-0.0148884384
C22H18O12,0,0,0,0,57067,36373,35288.1666666667,0,0,0,69553,46964.5,48742.6666666667,C10437,-0.0146502335
C10H8O2,0,0,0,0,5838.3333333333,4132.6666666667,11673.6666666667,0,0,0,8980.6666666667,7478.1666666667,12356,C03012 | C07719 | C07726 | C14785 | C16213,-0.0146134422
C20H22O5,0,0,0,0,8099.5,7018.3333333333,13339,0,0,0,10353,10524.1666666667,15995.3333333333,C05229 | C18164 | C20984,-0.0144408406
C26H37NO6,0,0,0,0,6375.6666666667,0,0,0,0,0,8113.3333333333,0,0,C12333,-0.0143243979
C12H20N2O3,0,7010,0,0,0,0,0,6265,0,4344,0,0,0,C07807,-0.0136179116
C10H14O3,229.3333333333,1112.3333333333,406.5,0,0,0,0,1976,390.5,0,0,0,0,C02952 | C06070 | C07159 | C10448 | C17822 | C17823 | C17825 | C19351 | C20271 | C21930,-0.0130828652
C6H14N4O2,11428.5,0,0,0,0,0,0,54660,135897,91465,0,0,0,C00062 | C00792 | C02385,-0.0125572166
C7H8N4O2,22281,25929,21048,36108,1296372.33333333,967221,476948.833333333,26592,33794,43514,1198854,2054729.66666667,889266.333333333,C07130 | C07480 | C13747,-0.0125571469
C25H31NO9,0,0,0,0,6057.6666666667,3723.3333333333,21789.6666666667,0,0,0,3336.6666666667,6883.6666666667,26556,C22046,-0.0123796961
C20H14O8,40632,51653,37813,0,0,0,0,24043,32218,27185,0,0,0,C10306 | C12416,-0.0121993626
C9H17NO8,0,0,0,0,0,0,0,13976,8053,0,0,0,0,C06469 | C08507,-0.0120462231
C25H43NO10,0,0,0,0,0,0,0,1147,1350,0,0,0,0,C17009,-0.011993773
C7H11NO3,47049.5,25391.5,0,19866.5,0,0,0,23717,82714,46277.5,0,0,0,C07411 | C17361 | C17724 | C20828,-0.0117798652
C16H30O3,0,1336.5714285714,0,0,0,0,0,2256.5714285714,0,0,0,0,0,C19614,-0.0117081879
C9H6O3,0,0,0,0,22314.3888888889,32320.25,35403.3333333333,0,0,0,46631.3333333333,39731.7916666667,37131.7666666667,C09315 | C20414,-0.0115487231
C6H11NO4,0,0,0,0,0,1313.6666666667,0,0,0,0,0,10084,0,C00956 | C01046 | C01077 | C02207 | C03210 | C05016 | C06234 | C17581 | C19694,-0.0114156424
C15H12O8,5862,5683,0,0,41537.6,38254.6666666667,46229.8,3594,0,0,54666.3333333333,54777.6666666667,54658.2666666667,C02906 | C03052 | C18348,-0.0113883742
C11H20O2,0,0,227.5,0,0,0,0,335,210,0,0,0,0,C08571 | C12295 | C13823 | C13910 | C19420,-0.0113691301
C4H10O3,0,0,0,0,0,0,3272,0,0,0,0,0,3622.8888888889,C14689,-0.0113143008
C8H15NO4,0,0,0,0,0,0,0,23223,6507,0,0,0,0,C02256 | C06326 | C10124 | C10132 | C11843,-0.0110727049
C8H10O3,119,302,0,0,0,0,0,370.25,0,0,0,0,0,C06317 | C10787,-0.0109902651
C9H5N4Cl,0,0,0,0,0,7743.6666666667,6143.6666666667,0,0,0,0,8857.3333333333,10227,C11164,-0.0108525665
C21H22O10,8086,10773,6322,10361,0,0,3829,0,4425,12065,0,0,3888.5,C09099 | C16406 | C16407 | C16492,-0.0107425839
C8H6O3,24069.6666666667,27197.6666666667,19057,14583.75,158869.444444444,153925.958333333,238030.722222222,24717.6666666667,16957.5,17654.25,219305.277777778,176845.875,267370.111111111,C02137 | C03057 | C10812,-0.0106619295
C8H17NO5,0,0,0,0,0,0,0,51433,0,11291,0,0,0,C02852 | C07708 | C12067,-0.010456096
C11H15N5O3,0,5260,0,0,0,0,0,27816,0,0,0,0,0,C03795,-0.01043504
C5H10N2O3,5447,6402,8444,11117,0,0,0,8782,32985,0,0,0,0,C00064 | C00303 | C00819 | C05100 | C16673 | C21029,-0.0104054784
C8H13NO5,0,13454,5830,7238,0,0,0,4596,3538,0,0,0,0,C12986,-0.0103980474
C5H9N3,67,0,31822.75,0,0,664.6666666667,0,0,52148.5,43413,0,4474,0,C00388,-0.010314239
C6H7N5O,0,0,0,0,22397.6666666667,27319,22525.6666666667,0,0,0,32942.3333333333,40594,27664.3333333333,C02230 | C02242,-0.0102971325
C19H29N5O2,229.5,919.25,0,0,0,0,0,579,0,0,0,0,0,C11805,-0.0102518012
C10H12N2O3,0,0,0,0,9495.6666666667,5558.3333333333,0,0,0,0,12808,13611.3333333333,0,C00328 | C01718 | C05647,-0.0099405512
C20H16O8,23316,16215,18763,22659,0,0,0,9058,20987,13221,0,0,0,C12366 | C18709 | C20503,-0.0098373036
C7H14N2O2S,0,0,0,0,0,0,7664.6666666667,0,0,0,0,6953.6666666667,7032,C11015 | C18645,-0.009820395
C8H12O2,75.5,677.25,365.5,0,0,0,0,208.25,106.25,0,0,0,0,C06727 | C16656 | C18011 | C19311,-0.0097783791
C6H14N2O2,0,0,0,0,0,0,0,0,6545,7018,0,0,0,C00047 | C00739 | C01142 | C01186 | C05161 | C16440 | C20277,-0.0096822022
C7H14N2O4,0,0,0,0,0,0,0,0,8301,9674,0,0,0,C00666 | C00680 | C20914 | C21887,-0.0096153924
C13H18N6O3,0,0,0,0,0,0,0,0,5389,6296,0,0,0,C01513,-0.0096131098
C10H16O,3203,5600,1229.8571428572,3296.5,0,0,0,3129,1214.4285714286,0,0,0,0,C00808 | C00809 | C00964 | C01123 | C01499 | C02213 | C02452 | C02759 | C04435 | C07271 | C09847 | C09859 | C09885 | C09893 | C09906 | C11387 | C11395 | C11398 | C11401 | C11408 | C11409 | C11412 | C11415 | C11938 | C11941 | C11942 | C11951 | C17623 | C18018 | C18369 | C19081 | C20260 | C20425 | C20943 | C22272,-0.009573256
C24H20O9,0,0,0,0,0,0,8815,0,0,0,0,0,9497.3333333333,C10217,-0.0094035448
C11H17NO8,0,0,0,0,0,0,0,6920,0,0,0,0,0,C04521 | C04580 | C08341,-0.0092171188
C12H17N5O4,0,0,0,0,0,0,0,8917,0,0,0,0,0,C03416,-0.0092171188
C10H14N2S,0,0,0,0,0,0,0,13428,0,0,0,0,0,C19086,-0.0092171188
C18H30O3,0,0,0,0,0,0,0,1519,0,0,0,0,0,C04594 | C04780 | C13798 | C14765 | C14766 | C16316 | C16326 | C16342 | C16346 | C19613 | C19827,-0.0092171188
C27H41NO6S,0,0,0,0,0,0,0,237,0,0,0,0,0,C12154,-0.0092171188
C11H11N5O4,0,0,0,0,0,0,0,7252,0,0,0,0,0,C19232,-0.0092171188
C9H17NO7,0,0,0,0,0,0,0,9132,0,0,0,0,0,C06470,-0.0092171188
C9H19O11P,0,0,0,0,0,0,0,1381,0,0,0,0,0,C01225 | C04641 | C04703 | C10517,-0.0092171188
C10H18N2O8,0,0,0,0,0,0,0,9076,0,0,0,0,0,C03411,-0.0092171188
C11H15N5O4,0,0,0,0,0,0,0,11682,0,0,0,0,0,C02494 | C05031,-0.0092171188
C20H41NO2,0,0,0,0,0,0,0,837,0,0,0,0,0,C13914,-0.0092171188
C24H36O5,0,0,0,0,0,0,0,14208,0,0,0,0,0,C07074 | C15568,-0.0092171188
C28H34O15,0,0,0,0,0,0,0,12374,0,0,0,0,0,C09755 | C09806,-0.0092171188
C18H37NO,0,0,0,0,0,0,0,18504,0,0,0,0,0,C13846,-0.0092171188
