Formula,High-EI 2014,High-EI 2015,High-EI 2016,High-EI 2017,High-EI 2018,High-EI 2019,High-EI 2020,Low-EI 2015,Low-EI 2016,Low-EI 2017,Low-EI 2018,Low-EI 2019,Low-EI 2020,KEGG ID,PC4 loadings
C12H23NO10S2,0,0,0,0,6876.6666666667,0,0,0,0,0,1546.3333333333,0,0,C08406,0.0371729227
C8H11NO,0,0,0,0,1366.6666666667,1773.1666666667,0,0,0,0,357,2253.8333333333,0,C00483 | C01183 | C02735 | C03473 | C16570 | C18396 | C19216 | C19376,0.037273458
C12H14O,0,0,0,0,0,1723.6666666667,0,0,0,0,0,1177.3333333333,0,C17783,0.0382280332
C13H16O3,0,0,0,0,32486.3333333333,15476.5555555556,51763,0,0,0,31158.6666666667,7597,29992,C09018 | C09928 | C12263,0.0385669974
C36H40N4O4Mg,0,0,0,6236,6730.3333333333,0,0,0,0,0,0,0,0,C21434,0.0388500127
C10H10O4,0,0,0,0,0,0,16099.3333333333,0,0,0,0,0,8162.8333333333,C00779 | C01494 | C02379 | C09974 | C10470 | C10477 | C11233 | C12204 | C16982,0.0395015311
C10H7NO4,0,0,0,0,6406.6666666667,11247,9649.6666666667,0,0,0,3923.6666666667,10991.6666666667,7717.3333333333,C02470 | C05663 | C08480 | C21306,0.0396538879
C13H23NO3,0,0,0,0,35437.6666666667,0,106016.666666667,0,0,0,36175.6666666667,0,49878.6666666667,C10869,0.0401403831
C6H14NO2Se,0,0,0,0,0,10013.3333333333,0,0,0,0,0,6164.3333333333,0,C05690,0.0404799882
C9H9NO6,0,0,0,0,0,0,11042.1666666667,0,0,0,0,0,5447,C05655 | C06047 | C06048,0.0409478738
C16H28O2,667,0,0,0,0,4005.6666666667,0,0,0,0,0,2460.3333333333,0,C16795 | C21980,0.0412388398
C11H14O2,0,0,0,0,1767,61480.6666666667,26162.8333333333,0,0,0,8346.3333333333,47717,15836.0833333333,C10454 | C10478 | C14535 | C14709 | C17663 | C17665 | C17666 | C17782,0.0419357805
C9H18O2,0,0,0,0,1097.6666666667,0,0,0,0,0,156,0,0,C01601,0.0421995142
C6H8O3,0,0,0,0,1523.3333333333,0,8496.6666666667,0,0,0,6207.3333333333,0,885,C01125 | C06719 | C06761 | C11354 | C20240 | C20443 | C20717,0.0425038695
C8H8O2,0,0,0,0,23752.75,22212.5555555556,24934.3333333333,0,0,0,23601.5,17676.8888888889,13660.1111111111,C00548 | C01454 | C03765 | C05613 | C06224 | C07085 | C07086 | C07189 | C07211 | C07215 | C10700 | C10761 | C14087 | C15583 | C20645 | C21166,0.0433169144
C8H5NO,0,0,0,0,4676,0,47394.6666666667,0,0,0,1755.3333333333,0,23053,C21329,0.0447737689
C8H15NO,0,0,974.3333333333,391,0,0,3379.6666666667,0,0,66,0,0,1534.3333333333,C00729 | C02066 | C06179 | C06182 | C10864 | C11359 | C12440,0.045146367
C11H12O2,0,0,0,0,48809.6666666667,55821.6666666667,62707.3333333333,0,0,0,46833.6666666667,46431.6666666667,36593.6666666667,C06359 | C08453 | C10389 | C12299 | C14083 | C14102 | C14111,0.0455038514
C12H18O2,312.5,0,1917,0,0,0,8972.6666666667,1846.75,0,0,0,0,3903,C14305 | C16937 | C17002,0.045939731
C20H20O11,0,0,0,0,3368.3333333333,1669.6666666667,7001.8333333333,0,0,0,3724,1264,3160,C10067 | C10093,0.0465801017
