deck_id	q	transform	scope	figure_families	slides	size_bytes	sha256	source_ppt	github_relative_path	notes
q0_raw_richness_composite_all10_review_deck	q0	raw	all10; All/PM/SM; Combo6yr/Period1/Period2	Cliff's delta boxplots; Coverage-cutoff contrast surface plots; Effect-size masks	30	27939402	7674a0072ef74f6585a354acc76e774934f481174f7bb611cc0cbb5ed8fd4566	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q0_q1_ppt_packaging_20260703/stage2_q0_raw_richness_composite_all10_cliffdelta_boxplots_coveragecutoff_surfaces_effectsize_masks_referencelegend_20260705.pptx	Figures/PPT/Data_10_q0_raw_richness_composite_all10_review_deck_20260705.pptx	reference legend fixed; q0 richness composite surface
q1_raw_stage2_inext_td_m_est_all10_review_deck	q1	raw	all10; All/PM/SM; Combo6yr/Period1/Period2	Cliff's delta boxplots; Coverage-cutoff contrast surface plots; Effect-size masks	30	32868668	d46248644a2b2e3d167d2ba1e3170c5788e180c7003730113d82ca915f2c142c	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q0_q1_ppt_packaging_20260703/stage2_q1_raw_stage2_inext_td_m_est_all10_cliffdelta_boxplots_coveragecutoff_surfaces_effectsize_masks_referencelegend_surfaceaspectfix_20260705.pptx	Figures/PPT/Data_10_q1_raw_stage2_inext_td_m_est_all10_review_deck_20260705.pptx	reference legend fixed; surface aspect normalized for PPT packaging
q2_boxplots_raw_sqrt_fourthroot_all10_review_deck	q2	raw;sqrt;fourthroot	all10; All/PM/SM; Combo6yr/Period1/Period2	Cliff's delta boxplots	36	52071783	e50c9631a54bd888c0273c79aee0fee1a07b16cd065929a3c43ca2803ecd00f7	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/ppt_review/stage2_q2_fig01_raw_sqrt_fourthroot_all10_pmsm_domain_groups_3x3_style2_horizontal_legend_png_20260627.pptx	Figures/PPT/Data_10_q2_boxplots_raw_sqrt_fourthroot_all10_review_deck_20260627.pptx	latest horizontal legend PNG-backed q2 boxplot deck
q2_raw_all10_coveragecutoff_contrast_surface_plots	q2	raw	all10; All/PM/SM; Combo6yr/Period1/Period2	Coverage-cutoff contrast surface plots	10	7417597	a310a25fc4b774d9b6110e3e3b77b229592b08c54c01bedb4fbfad14f657b892	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_surface_from_labelrev4_raw_all10_20260705/ppt_review/stage2_q2_raw_all10_coveragecutoff_contrast_surface_plots_20260705.pptx	Figures/PPT/Data_10_q2_raw_all10_coveragecutoff_contrast_surface_plots_20260705.pptx	rendered downstream from labelrev4/raw_all10 comparison_cells_filtered.csv; no upstream recomputation
q2_raw_all10_effectsize_masks_robustness_overlay	q2	raw	all10; All/PM/SM	Effect-size masks; Robustness overlay	20	8207613	8f9d3fc899ea58d219e99034d4c6421243a752853e76d8b72b5ed40d9e67a282	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_mask_labelrev4_20260627/raw_all10_local_bundle_labelrev4_20260627/stage2_q2_raw_all10_9panel_mask_labelrev4_20260627.pptx	Figures/PPT/Data_10_q2_raw_all10_effectsize_masks_robustness_overlay_20260627.pptx	raw all10 labelrev4 mask/overlay deck
q2_alpha0_fig01_all10_pmsm_domain_groups	q2	alpha0	all10; PM/SM; Combo6yr/Period1/Period2	Cliff's delta boxplots	9	20679827	0621e273856c088808c0dfc3ff23c3fcbc5c7f4b209bb849d16011794f38af15	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_alpha0_fig01_domain_group_deck_20260706/stage2_q2_alpha0_fig01_all10_pmsm_domain_groups_3x3_style2_horizontal_legend_20260706.pptx	Figures/PPT/stage2_q2_alpha0_fig01_all10_pmsm_domain_groups_3x3_style2_horizontal_legend_20260706.pptx	alpha0 q2 boxplot deck added as a Data 10 PowerPoint figure deck
