Transform	Transform_Title	Domain	Subset	Mode	Q_Label	Estimate_Definition	Metric	Rows	Figure_File	NoLegend_Figure_File
raw	raw	Disease_NE	PM	Period1_2015_2017	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2893	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/PM/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/PM/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_NE	PM	Period2_2018_2020	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2542	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/PM/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/PM/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_NE	SM	Combo6yr	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2887	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/SM/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/SM/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_NE	SM	Period1_2015_2017	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2887	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/SM/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/SM/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_NE	SM	Period2_2018_2020	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2518	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/SM/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_NE/SM/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_ICD11	All	Combo6yr	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2893	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/All/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/All/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_ICD11	All	Period1_2015_2017	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2893	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/All/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/All/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_ICD11	All	Period2_2018_2020	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2542	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/All/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/All/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_ICD11	PM	Combo6yr	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2893	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/PM/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/PM/Combo6yr/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_ICD11	PM	Period1_2015_2017	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2893	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/PM/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/PM/Period1_2015_2017/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
raw	raw	Disease_ICD11	PM	Period2_2018_2020	q2	Stage2_iNEXT_TD_m_est	CliffsDelta	2542	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/PM/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired.png	/Users/nonaka/Documents/work/Rarefaction/Chao1_Intensity/out_heatmap_cutoff_quantification_from_csv/stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804/raw/figures/main_q12/Disease_ICD11/PM/Period2_2018_2020/q2/Stage2_iNEXT_TD_m_est/CliffsDelta/01_reference_bridge_boxplots_paired_nolegend.png
