analysis_id	q	figure_class	domains	subsets	source_path	raw_size	github_policy	external_uri	status
q2_local_figure_bundles	q2	coverage_cutoff_maps_masks_overlays_distribution_plots_ssc_figures	10	All/PM/SM	local:out_heatmap_cutoff_quantification_from_csv/stage2_q2_mask_labelrev4_20260627;stage2_q2_mask_labelrev5_priority_20260627;stage2_q2_all10_raw_fourthroot_safechunk6_20260624_191606;stage2_q2_all10_transform_sqrt_log1p_20260625_111513;stage2_q2_fig01_raw_sqrt_fourthroot_style2_all10_pmsm_periods_20260626_094804;stage2_q2_formula_ssc_raw_fourthroot_20260625_194341	5.67G_archive_input	S3_over_100MB	https://d38f5mdcvtp0z3.cloudfront.net/JFCA_IFDC2026_SpecialIssue/D10/D10_q2_local_figure_bundles_20260629.tar.zst	external_deposited
q1_formula_brite_pathway_style_sync_figures	q1	coverage_cutoff_maps_masks_distribution_plots	3	All/PM/SM	GPUPC2:out_heatmap_cutoff_quantification_from_csv/stage2_q1_formula_brite_pathway_raw_gpupc2_20260629_000132_style_sync_20260630_1000	9.2G_archive_input	S3_over_100MB	https://d38f5mdcvtp0z3.cloudfront.net/JFCA_IFDC2026_SpecialIssue/D10/D10_q1_formula_brite_pathway_style_sync_figures_20260630.tar.zst	local_payload_pending_external_upload
q0_q1_q2_review_ppt_decks	q0/q1/q2	review_powerpoint_decks	10	All/PM/SM	local:Figures/PPT;manifests/Data_10_figures_ppt_manifest_20260705.tsv	122.6MB_tracked_ppt	Tracked_in_GitHub	Figures/PPT/	github_tracked
