"","Carbohydrate metabolism","Lipid/glycolipid metabolism","Nucleotide metabolism","Amino acid metabolism","Glycan/glycoprotein metabolism","Cofactor/vitamin metabolism","Replication and repair","Signal transduction","Cellular process","Immune system","Endocrine system"
"C23H38N7O17P3S",1,1,0,1,0,1,0,0,1,0,0
"C7H6O",0,0,0,0,0,0,0,0,0,0,0
"C22H26O6",0,0,0,0,0,0,0,0,0,0,0
"C23H30O3Br2",0,0,0,0,0,0,0,0,0,0,0
"C44H34O22",0,0,0,0,0,0,0,0,0,0,0
"C19H17N3O3Cl2",0,0,0,0,0,0,0,0,0,0,0
"C27H36N2O4BrCl",0,0,0,0,0,0,0,0,0,0,0
"C5H10O6",0,0,0,0,0,0,0,0,0,0,0
"C12H23NO4",0,0,0,0,0,0,0,0,0,0,0
"C11H18O9",0,0,0,0,0,0,0,0,0,0,0
"C11H21NO4",0,0,0,0,0,0,0,0,0,0,0
"C15H8O7",0,0,0,0,0,0,0,0,0,0,0
"C15H16O9",0,0,0,0,0,0,0,0,0,0,0
"C17H14O8",0,0,0,0,0,0,0,0,0,0,0
"C10H10N2",0,0,0,0,0,0,0,0,0,0,0
"C14H20O2",0,0,0,0,0,0,0,0,0,0,0
"C23H25N5O5",0,0,0,0,0,0,0,0,0,0,0
"C21H20O11",0,0,0,0,0,0,0,0,0,0,0
"C12H20O4",0,0,0,0,0,0,0,0,0,0,0
"C15H11O5",0,0,0,0,0,0,0,0,0,0,0
"C12H19N4O7P2S",0,0,0,0,0,0,0,0,0,0,0
"C27H30O15",0,0,0,0,0,0,0,0,0,0,0
"C5H9NO4",0,1,0,1,1,1,1,1,1,1,1
"C26H29O15",0,0,0,0,0,0,0,0,0,0,0
"C17H18O4",0,0,0,0,0,0,0,0,0,0,0
"C6H10O4",0,0,0,0,0,0,0,0,0,0,0
"C12H18O3",0,0,0,0,0,0,0,0,0,0,0
"C30H27O14",0,0,0,0,0,0,0,0,0,0,0
"C15H29O10P3",0,0,0,0,0,0,0,0,0,0,0
"C5H5NO2",0,0,0,0,0,0,0,0,0,0,0
"C11H15NO2",0,0,0,0,0,0,0,0,0,0,0
"C21H20O10",0,0,0,0,0,0,0,0,0,0,0
"C7H11NO4",0,0,0,0,0,0,0,0,0,0,0
"C23H32O4S",0,0,0,0,0,0,0,0,0,0,0
"C9H14O3",0,0,0,0,0,0,0,0,0,0,0
"C15H12O6",0,0,0,0,0,0,0,0,0,0,0
"C15H12O5",0,0,0,0,0,0,0,0,0,0,0
"C15H24O2",0,0,0,0,0,0,0,0,0,0,0
"C5H11N3O",0,0,0,0,0,0,0,0,0,0,0
"C9H18N2O4",0,0,0,0,0,0,0,0,0,0,0
"C10H12N5O7P",0,0,0,0,1,0,0,1,1,0,1
"C5H6N2O2",0,0,0,0,0,0,0,0,0,0,0
"C7H6O5",0,0,0,0,0,0,0,0,0,0,0
"C5H6O3",0,0,0,0,0,0,0,0,0,0,0
"C15H21NO2",0,0,0,0,0,0,0,0,0,0,0
"C17H24O6",0,0,0,0,0,0,0,0,0,0,0
"C17H24O4",0,0,0,0,0,0,0,0,0,0,0
"C20H28O3",0,0,0,0,0,0,0,0,0,0,0
"C20H26O3",0,0,0,0,0,0,0,0,0,0,0
"C24H34O9",0,0,0,0,0,0,0,0,0,0,0
"C30H28O12",0,0,0,0,0,0,0,0,0,0,0
"C22H18O11",0,0,0,0,0,0,0,0,0,0,0
"C5H11NO2",1,0,0,1,0,1,0,0,0,0,0
"C9H14N4O5S",0,0,0,0,0,0,0,0,0,0,0
"C6H6O3",0,0,0,0,0,0,0,0,0,0,0
"C6H12O5",0,0,0,0,0,0,0,0,0,0,0
"C6H6N4O2",0,0,0,0,0,0,0,0,0,0,0
"C8H16O2",0,0,0,0,0,0,0,0,0,0,0
"C15H14N4O",0,0,0,0,0,0,0,0,0,0,0
"C18H34N2O8PSCl",0,0,0,0,0,0,0,0,0,0,0
"C9H8O2",0,0,0,0,0,0,0,0,0,0,0
"C7H6O2",0,0,0,0,0,0,0,0,0,0,0
"C5H14NO4P",0,0,0,0,0,0,0,0,0,0,0
"C6H7N3O",0,0,0,0,0,0,0,0,0,0,0
"C11H19NO9",0,0,0,0,0,0,0,0,0,0,0
"C4H7NO4",0,0,0,0,0,0,0,0,0,0,0
"C11H9NO2",0,0,0,0,0,0,0,0,0,0,0
"C15H23N5O4",0,0,0,0,0,0,0,0,0,0,0
"C22H18O12",0,0,0,0,0,0,0,0,0,0,0
"C10H8O2",0,0,0,0,0,0,0,0,0,0,0
"C20H22O5",0,0,0,0,0,0,0,0,0,0,0
"C26H37NO6",0,0,0,0,0,0,0,0,0,0,0
"C12H20N2O3",0,0,0,0,0,0,0,0,0,0,0
"C10H14O3",0,0,0,0,0,0,0,0,0,0,0
"C6H14N4O2",0,0,0,1,0,1,1,1,1,1,1
"C7H8N4O2",0,0,0,0,0,0,0,0,0,0,0
"C25H31NO9",0,0,0,0,0,0,0,0,0,0,0
"C20H14O8",0,0,0,0,0,0,0,0,0,0,0
"C9H17NO8",0,0,0,0,0,0,0,0,0,0,0
"C25H43NO10",0,0,0,0,0,0,0,0,0,0,0
"C7H11NO3",0,0,0,0,0,0,0,0,0,0,0
"C16H30O3",0,0,0,0,0,0,0,0,0,0,0
"C9H6O3",0,0,0,0,0,0,0,0,0,0,0
"C6H11NO4",0,0,0,0,0,0,0,0,0,0,0
"C15H12O8",0,0,0,0,0,0,0,0,0,0,0
"C11H20O2",0,0,0,0,0,0,0,0,0,0,0
"C4H10O3",0,0,0,0,0,0,0,0,0,0,0
"C8H15NO4",0,0,0,0,0,0,0,0,0,0,0
"C8H10O3",0,0,0,0,0,0,0,0,0,0,0
"C9H5N4Cl",0,0,0,0,0,0,0,0,0,0,0
"C21H22O10",0,0,0,0,0,0,0,0,0,0,0
"C8H6O3",0,0,0,0,0,0,0,0,0,0,0
"C8H17NO5",0,0,0,0,0,0,0,0,0,0,0
"C11H15N5O3",0,0,0,0,0,0,0,0,0,0,0
"C5H10N2O3",0,1,0,1,1,1,1,1,1,1,1
"C8H13NO5",0,0,0,0,0,0,0,0,0,0,0
"C5H9N3",0,1,0,1,1,1,1,1,1,1,1
"C6H7N5O",0,0,0,0,0,0,0,0,0,0,0
"C19H29N5O2",0,0,0,0,0,0,0,0,0,0,0
"C10H12N2O3",0,0,0,1,0,0,0,0,0,0,0
"C20H16O8",0,0,0,0,0,0,0,0,0,0,0
"C7H14N2O2S",0,0,0,0,0,0,0,0,0,0,0
"C8H12O2",0,0,0,0,0,0,0,0,0,0,0
"C6H14N2O2",0,0,0,1,0,0,0,0,0,0,0
"C7H14N2O4",0,0,0,0,0,0,0,0,0,0,0
"C13H18N6O3",0,0,0,0,0,0,0,0,0,0,0
"C10H16O",0,0,0,0,0,0,0,0,0,0,0
"C24H20O9",0,0,0,0,0,0,0,0,0,0,0
"C11H17NO8",0,0,0,0,0,0,0,0,0,0,0
"C12H17N5O4",0,0,0,0,0,0,0,0,0,0,0
"C10H14N2S",0,0,0,0,0,0,0,0,0,0,0
"C18H30O3",0,0,0,0,0,0,0,0,0,0,0
"C27H41NO6S",0,0,0,0,0,0,0,0,0,0,0
"C11H11N5O4",0,0,0,0,0,0,0,0,0,0,0
"C9H17NO7",0,0,0,0,0,0,0,0,0,0,0
"C9H19O11P",0,0,0,0,0,0,0,0,0,0,0
"C10H18N2O8",0,0,0,0,0,0,0,0,0,0,0
"C11H15N5O4",0,0,0,0,0,0,0,0,0,0,0
"C20H41NO2",0,0,0,0,0,0,0,0,0,0,0
"C24H36O5",0,0,0,0,0,0,0,0,0,0,0
"C28H34O15",0,0,0,0,0,0,0,0,0,0,0
"C18H37NO",0,0,0,0,0,0,0,0,0,0,0
"C4H8N2O3",0,0,0,0,0,0,0,0,0,0,0
"C12H20O10",0,0,0,0,0,0,0,0,0,0,0
"C11H20N2O6",0,0,0,0,0,0,0,0,0,0,0
"C8H16O",0,0,0,0,0,0,0,0,0,0,0
"C12H22O11",0,0,0,0,0,0,0,0,0,0,0
"C11H14NO6P",0,0,0,0,0,0,0,0,0,0,0
"C20H14O7",0,0,0,0,0,0,0,0,0,0,0
"C8H17N",0,0,0,0,0,0,0,0,0,0,0
"C10H9NO",0,0,0,0,0,0,0,0,0,0,0
"C15H28O2",0,0,0,0,0,0,0,0,0,0,0
"C16H30O2",0,0,0,0,0,0,0,0,0,0,0
"C24H34O4S",0,0,0,0,0,0,0,0,0,0,0
"C17H32O2",0,0,0,0,0,0,0,0,0,0,0
"C9H8O3",0,0,0,0,0,0,0,0,0,0,0
"C27H48O3",0,0,0,0,0,0,0,0,0,0,0
"C16H22N4O9S",0,0,0,0,0,0,0,0,0,0,0
"C17H27N4O14P",0,0,0,0,0,0,0,0,0,0,0
"C9H12O2",0,0,0,0,0,0,0,0,0,0,0
"C12H10NOCl2F3",0,0,0,0,0,0,0,0,0,0,0
"C10H19N",0,0,0,0,0,0,0,0,0,0,0
"C19H37N5O6",0,0,0,0,0,0,0,0,0,0,0
"C6H13NO5",0,0,0,0,0,0,0,0,0,0,0
"C8H19N",0,0,0,0,0,0,0,0,0,0,0
"C6H10O5",0,0,0,0,0,0,0,0,0,0,0
"C4H5NO3",0,0,0,0,0,0,0,0,0,0,0
"C6H13N3",0,0,0,0,0,0,0,0,0,0,0
"C4H9NO3",0,0,0,0,0,0,0,0,0,0,0
"C5H11NO3",0,0,0,0,0,0,0,0,0,0,0
"C4H7NO2",0,0,0,0,0,0,0,0,0,0,0
"C26H35N5O12S",0,0,0,0,0,0,0,0,0,0,0
"C7H11N3",0,0,0,0,0,0,0,0,0,0,0
"C25H45NO9",0,0,0,0,0,0,0,0,0,0,0
"C8H10O2",0,0,0,0,0,0,0,0,0,0,0
"C21H41N5O7",0,0,0,0,0,0,0,0,0,0,0
"C8H8O",0,0,0,0,0,0,0,0,0,0,0
"C8H14O5S",0,0,0,0,0,0,0,0,0,0,0
"C11H18",0,0,0,0,0,0,0,0,0,0,0
"C16H20O9",0,0,0,0,0,0,0,0,0,0,0
"C14H10O",0,0,0,0,0,0,0,0,0,0,0
"C18H35NO3",0,0,0,0,0,0,0,0,0,0,0
"C6H12O6",1,0,0,1,0,1,1,1,1,1,1
"C15H22O4",0,0,0,0,0,0,0,0,0,0,0
"C17H34N3O14P",0,0,0,0,0,0,0,0,0,0,0
"C16H18N4O7S",0,0,0,0,0,0,0,0,0,0,0
"C11H10O5",0,0,0,0,0,0,0,0,0,0,0
"C12H27O4P",0,0,0,0,0,0,0,0,0,0,0
"C19H12O7",0,0,0,0,0,0,0,0,0,0,0
"C11H20O10",0,0,0,0,0,0,0,0,0,0,0
"C11H23NO2",0,0,0,0,0,0,0,0,0,0,0
"C22H22O11",0,0,0,0,0,0,0,0,0,0,0
"C14H26O2",0,0,0,0,0,0,0,0,0,0,0
"C18H34O2",0,0,0,0,0,0,0,0,0,0,0
"C15H10O8",0,0,0,0,0,0,0,0,0,0,0
"C9H17N4O9P",0,0,0,0,0,0,0,0,0,0,0
"C18H35NO",0,0,0,0,0,0,0,0,0,0,0
"C12H20N3O6SCl",0,0,0,0,0,0,0,0,0,0,0
"C37H60N7O18P3S",0,0,0,0,0,0,0,0,0,0,0
"C8H20O7P2",0,0,0,0,0,0,0,0,0,0,0
"C23H30N4O4S2",0,0,0,0,0,0,0,0,0,0,0
"C8H17NOS",0,0,0,0,0,0,0,0,0,0,0
"C9H12O",0,0,0,0,0,0,0,0,0,0,0
"C12H16O2",0,0,0,0,0,0,0,0,0,0,0
"C6H11N3",0,1,0,1,1,1,1,1,1,1,1
"C7H6O6",0,0,0,0,0,0,0,0,0,0,0
"C9H14O",0,0,0,0,0,0,0,0,0,0,0
"C9H14O2",0,0,0,0,0,0,0,0,0,0,0
"C8H11N",0,0,0,0,0,0,0,0,0,0,0
"C26H42O4",0,0,0,0,0,0,0,0,0,0,0
"C24H41NO10",0,0,0,0,0,0,0,0,0,0,0
"C18H32O2",0,0,0,0,0,0,0,0,0,0,0
"C5H11NO",0,0,0,0,0,0,0,0,0,0,0
"C10H14O2",0,0,0,0,0,0,0,0,0,0,0
"C6H8O7",0,0,0,0,0,0,0,0,0,0,0
"C11H20O",0,0,0,0,0,0,0,0,0,0,0
"C4H9NO2",0,1,0,1,1,1,1,1,1,1,1
"C20H38O2",0,0,0,0,0,0,0,0,0,0,0
"C6H4O4",0,0,0,0,0,0,0,0,0,0,0
"C12H12O3",0,0,0,0,0,0,0,0,0,0,0
"C12H16O3",0,0,0,0,0,0,0,0,0,0,0
"C7H6O3",0,0,0,0,0,0,0,0,0,0,0
"C18H32O3",0,0,0,0,0,0,0,0,0,0,0
"C27H34O15",0,0,0,0,0,0,0,0,0,0,0
"C9H14O4",0,0,0,0,0,0,0,0,0,0,0
"C21H16O8",0,0,0,0,0,0,0,0,0,0,0
"C8H10N4O2",0,0,0,0,0,0,0,0,0,0,0
"C19H27N5O3",0,0,0,0,0,0,0,0,0,0,0
"C9H12",0,0,0,0,0,0,0,0,0,0,0
"C5H6O5",1,0,0,1,0,1,0,0,1,0,0
"C9H17NO5",0,0,0,0,0,0,0,0,0,0,0
"C10H19NO2S2",0,0,0,0,0,0,0,0,0,0,0
"C9H13N2O11P2F",0,0,0,0,0,0,0,0,0,0,0
"C8H8N4",0,0,0,0,0,0,0,0,0,0,0
"C18H36O",0,0,0,0,0,0,0,0,0,0,0
"C6H12OCl2",0,0,0,0,0,0,0,0,0,0,0
"C15H10O6",0,0,0,0,0,0,0,0,0,0,0
"C19H20O4",0,0,0,0,0,0,0,0,0,0,0
"C12H18N4O4PS",0,0,0,0,0,0,0,0,0,0,0
"C7H10O4",0,0,0,0,0,0,0,0,0,0,0
"C15H14O6",0,0,0,0,0,0,0,0,0,0,0
"C12H12O2",0,0,0,0,0,0,0,0,0,0,0
"C25H32N2O6",0,0,0,0,0,0,0,0,0,0,0
"C7H12O6",0,0,0,0,0,0,0,0,0,0,0
"C4H8N2O",0,0,0,0,0,0,0,0,0,0,0
"C14H10N4O5",0,0,0,0,0,0,0,0,0,0,0
"C8H7N",0,0,0,0,0,0,0,0,0,0,0
"C2H7O3P",0,0,0,0,0,0,0,0,0,0,0
"C9H16O2",0,0,0,1,0,0,0,1,1,1,0
"C13H20O3",0,0,0,0,0,0,0,0,0,0,0
"C22H20N2O7",0,0,0,0,0,0,0,0,0,0,0
"C18H32O16",0,0,0,0,0,0,0,0,0,0,0
"C11H22N5O6P",0,0,0,0,0,0,0,0,0,0,0
"C10H10O2",0,0,0,0,0,0,0,0,0,0,0
"C30H26O11",0,0,0,0,0,0,0,0,0,0,0
"C14H18O4",0,0,0,0,0,0,0,0,0,0,0
"C7H14O",0,0,0,0,0,0,0,0,0,0,0
"C32H63NO3",0,0,0,0,0,0,0,0,0,0,0
"C16H28O",0,0,0,0,0,0,0,0,0,0,0
"C18H39O7P",0,0,0,0,0,0,0,0,0,0,0
"C16H22O4",0,0,0,0,0,0,0,0,0,0,0
"C16H27NO6",0,0,0,0,0,0,0,0,0,0,0
"C6H6O2",0,0,0,0,0,0,0,0,0,0,0
"C8H17NO",0,0,0,0,0,0,0,0,0,0,0
"C12H15N2O3PS",0,0,0,0,0,0,0,0,0,0,0
"C30H26O12",0,0,0,0,0,0,0,0,0,0,0
"C6H12O2",0,0,0,0,0,0,0,0,0,0,0
"C6H13N",0,0,0,0,0,0,0,0,0,0,0
"C18H15N3O7S",0,0,0,0,0,0,0,0,0,0,0
"C6H5NO2",0,0,0,0,0,0,0,0,0,0,0
"C9H15N4O8P",0,0,0,0,0,0,0,0,0,0,0
"C12H20O2",0,0,0,0,0,0,0,0,0,0,0
"C6H10O3",1,0,0,1,0,1,0,0,0,0,0
"C14H20O3",0,0,0,0,0,0,0,0,0,0,0
"C30H26O14",0,0,0,0,0,0,0,0,0,0,0
"C5H7N3",0,0,0,0,0,0,0,0,0,0,0
"C10H8O3",0,0,0,0,0,0,0,0,0,0,0
"C16H13NO3ClF",0,0,0,0,0,0,0,0,0,0,0
"C9H17NO",0,0,0,0,0,0,0,0,0,0,0
"C18H28O4",0,0,0,0,0,0,0,0,0,0,0
"C15H14O7",0,0,0,0,0,0,0,0,0,0,0
"C7H9NO",0,0,0,0,0,0,0,0,0,0,0
"C8H8O4",0,0,0,1,0,0,0,0,1,0,0
"C15H11O7",0,0,0,0,0,0,0,0,0,0,0
"C15H22O",0,0,0,0,0,0,0,0,0,0,0
"C15H12O7",0,0,0,0,0,0,0,0,0,0,0
"C12H14O3",0,0,0,0,0,0,0,0,0,0,0
"C11H10O3",0,0,0,0,0,0,0,0,0,0,0
"C12H22O",0,0,0,0,0,0,0,0,0,0,0
"C8H8",0,0,0,0,0,0,0,0,0,0,0
"C6H10O2",0,0,0,0,0,0,0,0,0,0,0
"C13H26NO10PS3",0,0,0,0,0,0,0,0,0,0,0
"C20H32N6O12S2",0,0,0,1,0,0,0,1,1,0,0
"C5H4O3",0,0,0,0,0,0,0,0,0,0,0
"C12H23N",0,0,0,0,0,0,0,0,0,0,0
"C10H12N4O4",0,0,0,0,0,0,0,0,0,0,0
"C9H10N2O",0,0,0,0,0,0,0,0,0,0,0
"C15H14O5",0,0,0,0,0,0,0,0,0,0,0
"C10H14N5O7P",0,1,1,1,1,1,1,1,1,1,1
"C7H4O5",0,0,0,0,0,0,0,0,0,0,0
"C13H10O5",0,0,0,0,0,0,0,0,0,0,0
"C22H18O8",0,0,0,0,0,0,0,0,0,0,0
"C18H22N5O8SF",0,0,0,0,0,0,0,0,0,0,0
"C29H39N5O8",0,0,0,0,0,0,0,0,0,0,0
"C9H16N2O4",0,0,0,0,0,0,0,0,0,0,0
"C8H10O",0,0,0,0,0,0,0,0,0,0,0
"C17H28O2",0,0,0,0,0,0,0,0,0,0,0
"C23H26O7",0,0,0,0,0,0,0,0,0,0,0
"C6H6N2O",0,0,0,0,0,0,0,0,0,0,0
"C13H14O3",0,0,0,0,0,0,0,0,0,0,0
