"","Carbohydrate metabolism","Lipid/glycolipid metabolism","Nucleotide metabolism","Amino acid metabolism","Glycan/glycoprotein metabolism","Cofactor/vitamin metabolism","Replication and repair","Signal transduction","Cellular process","Immune system","Endocrine system"
"C13H16O3",0,0,0,0,0,0,0,0,0,0,0
"C36H40N4O4Mg",0,0,0,0,0,0,0,0,0,0,0
"C10H10O4",0,0,0,0,0,0,0,0,0,0,0
"C10H7NO4",0,0,0,0,0,0,0,0,0,0,0
"C13H23NO3",0,0,0,0,0,0,0,0,0,0,0
"C6H14NO2Se",0,0,0,0,0,0,0,0,0,0,0
"C9H9NO6",0,0,0,0,0,0,0,0,0,0,0
"C16H28O2",0,0,0,0,0,0,0,0,0,0,0
"C11H14O2",0,0,0,0,0,0,0,0,0,0,0
"C9H18O2",0,0,0,0,0,0,0,0,0,0,0
"C6H8O3",0,0,0,0,0,0,0,0,0,0,0
"C8H8O2",0,0,0,0,0,0,0,0,0,0,0
"C8H5NO",0,0,0,0,0,0,0,0,0,0,0
"C8H15NO",0,0,0,0,0,0,0,0,0,0,0
"C11H12O2",0,0,0,0,0,0,0,0,0,0,0
"C12H18O2",0,0,0,0,0,0,0,0,0,0,0
"C20H20O11",0,0,0,0,0,0,0,0,0,0,0
"C27H30O17",0,0,0,0,0,0,0,0,0,0,0
"C33H41O21",0,0,0,0,0,0,0,0,0,0,0
"C15H20O4",0,0,0,0,0,0,0,0,0,0,0
"C8H14O",0,0,0,0,0,0,0,0,0,0,0
"C23H24O6",0,0,0,0,0,0,0,0,0,0,0
"C26H35NO11",0,0,0,0,0,0,0,0,0,0,0
"C14H16O4",0,0,0,0,0,0,0,0,0,0,0
"C7H8O3",0,0,0,0,0,0,0,0,0,0,0
"C3H10NO3P",0,0,0,0,0,0,0,0,0,0,0
"C10H10O3",0,0,0,0,0,0,0,0,0,0,0
"C22H31NO6",0,0,0,0,0,0,0,0,0,0,0
"C30H27O13",0,0,0,0,0,0,0,0,0,0,0
"C25H32O9",0,0,0,0,0,0,0,0,0,0,0
"C17H16O7",0,0,0,0,0,0,0,0,0,0,0
"C20H22N7O6",0,0,0,1,0,1,0,0,0,0,0
"C17H26O5",0,0,0,0,0,0,0,0,0,0,0
"C28H29N3OF2",0,0,0,0,0,0,0,0,0,0,0
"C6H9NO4",0,0,0,0,0,0,0,0,0,0,0
"C12H18O",0,0,0,0,0,0,0,0,0,0,0
"C26H28O14",0,0,0,0,0,0,0,0,0,0,0
"C22H24O6",0,0,0,0,0,0,0,0,0,0,0
"C9H17NO2",0,0,0,0,0,0,0,0,0,0,0
"C8H7NO",0,0,0,0,0,0,0,0,0,0,0
"C11H16O2",0,0,0,0,0,0,0,0,0,0,0
"C13H20O2",0,0,0,0,0,0,0,0,0,0,0
"C17H24O5",0,0,0,0,0,0,0,0,0,0,0
"C9H17N",0,0,0,0,0,0,0,0,0,0,0
"C13H27NO2",0,0,0,0,0,0,0,0,0,0,0
"C17H24O3",0,0,0,0,0,0,0,0,0,0,0
"C21H20O9",0,0,0,0,0,0,0,0,0,0,0
"C10H12O",0,0,0,0,0,0,0,0,0,0,0
"C33H45NO11",0,0,0,0,0,0,0,0,0,0,0
"C21H24O10",0,0,0,0,0,0,0,0,0,0,0
"C2H6O3PCl",0,0,0,0,0,0,0,0,0,0,0
"C12H19NO2S2",0,0,0,0,0,0,0,0,0,0,0
"C13H18O2",0,0,0,0,0,0,0,0,0,0,0
"C20H24O6",0,0,0,0,0,0,0,0,0,0,0
"C11H16O4",0,0,0,0,0,0,0,0,0,0,0
"C9H10O3",0,0,0,0,0,0,0,0,0,0,0
"C11H14O4",0,0,0,0,0,0,0,0,0,0,0
"C17H23N4O11P",0,0,0,0,0,0,0,0,0,0,0
"C22H24O7",0,0,0,0,0,0,0,0,0,0,0
"C13H20O",0,0,0,0,0,0,0,0,0,0,0
"C19H20O6",0,0,0,0,0,0,0,0,0,0,0
"C33H40O21",0,0,0,0,0,0,0,0,0,0,0
"C9H8O",0,0,0,0,0,0,0,0,0,0,0
"C11H18O2",0,0,0,0,0,0,0,0,0,0,0
"C21H23NO7",0,0,0,0,0,0,0,0,0,0,0
"C21H22O7",0,0,0,0,0,0,0,0,0,0,0
"C13H16O8",0,0,0,0,0,0,0,0,0,0,0
"C9H6O4",0,0,0,0,0,0,0,0,0,0,0
"C4H6O6",0,0,0,0,0,0,0,0,0,0,0
"C14H21NO8",0,0,0,0,0,0,0,0,0,0,0
"C19H32O8",0,0,0,0,0,0,0,0,0,0,0
"C13H13N3",0,0,0,0,0,0,0,0,0,0,0
"C8H10N4O3",0,0,0,0,0,0,0,0,0,0,0
"C13H22O",0,0,0,0,0,0,0,0,0,0,0
"C8H11NO3",0,1,0,1,1,1,1,1,1,1,1
"C13H18O7",0,0,0,0,0,0,0,0,0,0,0
"C20H22O6",0,0,0,0,0,0,0,0,0,0,0
"C19H18O10",0,0,0,0,0,0,0,0,0,0,0
"C7H6O4",0,0,0,0,0,0,0,0,0,0,0
"C42H46O23",0,0,0,0,0,0,0,0,0,0,0
"C16H24O7",0,0,0,0,0,0,0,0,0,0,0
"C6H8O4",0,0,0,0,0,0,0,0,0,0,0
"C13H16N2O4",0,0,0,0,0,0,0,0,0,0,0
"C20H24N3SCl",0,0,0,0,0,0,0,0,0,0,0
"C6H14N2O",0,0,0,0,0,0,0,0,0,0,0
"C11H8O4",0,0,0,0,0,0,0,0,0,0,0
"C18H14O8",0,0,0,0,0,0,0,0,0,0,0
"C18H35NO2",0,0,0,0,0,0,0,0,0,0,0
"C9H17NO3",0,0,0,0,0,0,0,0,0,0,0
"C13H21NO",0,0,0,0,0,0,0,0,0,0,0
"C6H6N2O2",0,1,0,1,0,1,0,1,1,0,1
"C8H16N2O3",0,0,0,0,0,0,0,0,0,0,0
"C14H14O7",0,0,0,0,0,0,0,0,0,0,0
"C21H18O11",0,0,0,0,0,0,0,0,0,0,0
"C17H18O5",0,0,0,0,0,0,0,0,0,0,0
"C20H22O4",0,0,0,0,0,0,0,0,0,0,0
"C21H24O7",0,0,0,0,0,0,0,0,0,0,0
"C6H9NO",0,0,0,0,0,0,0,0,0,0,0
"C20H20O5",0,0,0,0,0,0,0,0,0,0,0
"C10H12",0,0,0,0,0,0,0,0,0,0,0
